noise,filter,seed,snr_in_db,snr_out_db,delta_snr_db,mse_in,mse_out,hurst_in,hurst_out,alpha_in,alpha_out
N3,F8,8,-23.483961159476365,-2.874082806306588,20.609878353169776,4.0663967467156805,0.035349800773726424,0.6870979273027524,0.9339273974161484,1.6715418038682517,1.9087953726731368
N3,F5,8,-23.483961159476365,-5.7317525584196805,17.752208601056687,4.0663967467156805,0.06827342048749376,0.6870979273027524,1.0350430801318786,1.6715418038682517,1.9113220763956145
N3,F9,8,-23.483961159476365,1.107139186353571,24.591100345829936,4.0663967467156805,0.014185858005858282,0.6870979273027524,1.3843019210632124,1.6715418038682517,2.0
N3,F0,9,-22.323238904058478,-22.323238904058478,0.0,3.1010443071371396,3.1010443071371396,0.5827270126698801,0.5827270126698801,1.7503682174642272,1.7503682174642272
N3,F1,9,-22.323238904058478,-9.171736042927598,13.15150286113088,3.1010443071371396,0.15104895368734705,0.5827270126698801,1.0209208643947358,1.7503682174642272,1.6919126786884333
N3,F2,9,-22.323238904058478,-4.798780602625964,17.524458301432514,3.1010443071371396,0.05586663583174167,0.5827270126698801,1.1793474632306384,1.7503682174642272,1.6538414269954143
N3,F3,9,-22.323238904058478,-19.22925852966244,3.093980374396036,3.1010443071371396,1.5216111342843313,0.5827270126698801,0.6684371482051732,1.7503682174642272,0.8656870402214605
N3,F4,9,-22.323238904058478,-2.9583539694110805,19.364884934647396,3.1010443071371396,0.03593532240346943,0.5827270126698801,1.017986817874394,1.7503682174642272,1.9140314211137692
N3,F6,9,-22.323238904058478,-18.717371811755978,3.6058670923025,3.1010443071371396,1.3525530915874189,0.5827270126698801,0.6642881559331436,1.7503682174642272,1.0042232411188214
N3,F7,9,-22.323238904058478,-2.1402780725869732,20.182960831471505,3.1010443071371396,0.029784672918595455,0.5827270126698801,0.9018543273127103,1.7503682174642272,1.7586245619634995
N3,F8,9,-22.323238904058478,-2.1402780725869732,20.182960831471505,3.1010443071371396,0.029784672918595455,0.5827270126698801,0.9018543273127103,1.7503682174642272,1.7586245619634995
N3,F5,9,-22.323238904058478,-4.248477948466817,18.07476095559166,3.1010443071371396,0.04830183210755025,0.5827270126698801,0.9432702475090324,1.7503682174642272,1.8782455618568867
N3,F9,9,-22.323238904058478,2.0837379953466355,24.406976899405112,3.1010443071371396,0.011362164721721094,0.5827270126698801,1.2957630238560407,1.7503682174642272,2.0
N4,F0,0,-20.44271049984347,-20.44271049984347,0.0,2.157144213329153,2.157144213329153,0.7599815825220615,0.7599815825220615,1.7679675274867448,1.7679675274867448
N4,F1,0,-20.44271049984347,-13.313582352914848,7.129128146928624,2.157144213329153,0.4405527271793797,0.7599815825220615,1.1210250698552953,1.7679675274867448,1.6043383833706777
N4,F2,0,-20.44271049984347,-10.31177717787645,10.13093332196702,2.157144213329153,0.23740434661418014,0.7599815825220615,1.311171354520093,1.7679675274867448,1.756589792923934
N4,F3,0,-20.44271049984347,-14.643433449887976,5.799277049955496,2.157144213329153,0.5860690791938213,0.7599815825220615,0.9973589945511951,1.7679675274867448,1.486514127841513
N4,F4,0,-20.44271049984347,-10.976804205147301,9.46590629469617,2.157144213329153,0.26439222379157523,0.7599815825220615,1.1269439281922586,1.7679675274867448,1.7175242160661126
