domain,series,filter,optimizer,model,seed,t_conv,conv,slope,floor_p50,floor_p10,floor_p90,auc,final_grad,holdout,alpha_hat,hurst_hat
electricity_load,s53,F10,adam,regression,2,21,1,-0.16987278147661825,0.00029625043787291085,1.8166657129489717e-05,0.0021419366061751063,-3.58238323620728,0.00028326724086085386,0.6646271296835137,1.6678235294117645,0.0912704752994491
electricity_load,s53,F10,adam,regression,3,20,1,1.6109885669217008,0.0003129764715550265,1.2196701577296246e-05,0.0018120962122578216,-3.5943149198822057,0.00022348996607220948,0.6770455026917893,1.6678235294117645,0.0912704752994491
electricity_load,s53,F10,adam,classification,0,262,1,-2.383175985839962,1.656782344881001e-05,1.3757980759300429e-05,2.1647963270923565e-05,-4.077303659869221,1.353817926823242e-05,0.6990623416117587,1.6678235294117645,0.0912704752994491
electricity_load,s53,F10,adam,classification,1,252,1,-2.4471633935957935,1.1027103882184957e-05,8.477058711838734e-06,1.4552275716119336e-05,-4.193458453912885,8.538486542233321e-06,0.6989356310187532,1.6678235294117645,0.0912704752994491
electricity_load,s53,F10,adam,classification,2,245,1,-1.0720080621852879,2.086706415804981e-05,1.927400537732452e-05,2.3942539181599327e-05,-4.068432027872857,1.7492685408040245e-05,0.6993157627977699,1.6678235294117645,0.0912704752994491
electricity_load,s53,F10,adam,classification,3,257,1,-1.898455705040154,1.8494407144706868e-05,1.440323952402817e-05,2.286844989860393e-05,-4.059462642533315,1.4734826348049383e-05,0.6989356310187532,1.6678235294117645,0.0912704752994491
electricity_load,s53,F11,sgd,regression,0,126,1,-1.9043269229989852,0.0001514378216272307,8.948360336653455e-05,0.00036961316025225404,-3.1094215001857646,0.00011625613700315926,0.33696170531065966,1.6678235294117645,0.0912704752994491
electricity_load,s53,F11,sgd,regression,1,127,1,-1.644737798087234,0.0001274542337969381,7.50508409311517e-05,0.00035014913576050663,-3.1437159516196833,0.00036289497082021025,0.33556316591872837,1.6678235294117645,0.0912704752994491
electricity_load,s53,F11,sgd,regression,2,118,1,-1.5425364798378867,0.00012126555480461237,6.568398556377628e-05,0.000303515845665334,-3.177165983395673,5.435773001354035e-05,0.33646245513782397,1.6678235294117645,0.0912704752994491
electricity_load,s53,F11,sgd,regression,3,121,1,-0.38254280162410226,0.00014634049925121072,8.779735398037655e-05,0.0003641684460116635,-3.141429386521545,5.374705520326843e-05,0.3368254596368705,1.6678235294117645,0.0912704752994491
electricity_load,s53,F11,sgd,classification,0,1999,1,-1.5790189710343856,0.001175768100753379,0.0010137121262006588,0.001347870309349522,-2.4234958131518214,0.0009854414670590155,0.7830714647744551,1.6678235294117645,0.0912704752994491
electricity_load,s53,F11,sgd,classification,1,1960,1,-1.3038549570780735,0.001124252237641986,0.0010109204127310516,0.0012562351002228928,-2.43484959322449,0.0009879370914465384,0.7824379118094272,1.6678235294117645,0.0912704752994491
electricity_load,s53,F11,sgd,classification,2,1945,1,-1.431612913915202,0.0011246400900639828,0.0009997492844042405,0.0012822592775496556,-2.434056273142806,0.0009655752068475686,0.782818043588444,1.6678235294117645,0.0912704752994491
electricity_load,s53,F11,sgd,classification,3,1915,1,-1.4461574180396444,0.0011773539374689505,0.0010179138470741685,0.001339369853116501,-2.430153555333939,0.0010002645589658602,0.782818043588444,1.6678235294117645,0.0912704752994491
electricity_load,s53,F11,adam,regression,0,80,1,-0.876180829292623,0.00115063268355971,0.00020802414524961682,0.004375788868669861,-2.8784731949435507,0.0002923076395857625,0.33288129598845007,1.6678235294117645,0.0912704752994491
electricity_load,s53,F11,adam,regression,1,79,1,-0.3539151898366674,0.0010717365217056862,0.00016955987297157608,0.004200565224612013,-2.89196340312624,0.002749905250983611,0.33076196939314584,1.6678235294117645,0.0912704752994491
electricity_load,s53,F11,adam,regression,2,75,1,0.14039997301458948,0.0012070151178509045,0.00024428210248618774,0.004514755668678942,-2.8869052991583657,0.0005731915959150004,0.3335159159738589,1.6678235294117645,0.0912704752994491
electricity_load,s53,F11,adam,regression,3,79,1,0.49559236107688537,0.001041154932052152,0.00019104789869571072,0.0043764483409173775,-2.8718988301934094,0.004663860648470006,0.34076312366262806,1.6678235294117645,0.0912704752994491
electricity_load,s53,F11,adam,classification,0,323,1,-3.1651845592163808,4.481108361658675e-05,2.2312462185207345e-05,0.00015789514141019913,-3.6791154499831564,2.860808045773818e-05,0.8199442473390776,1.6678235294117645,0.0912704752994491
electricity_load,s53,F11,adam,classification,1,318,1,-0.7129389100647335,5.446358799740711e-05,2.096770137908021e-05,0.00017008049092221897,-3.6913748622937437,3.365893716844034e-05,0.8217181956411556,1.6678235294117645,0.0912704752994491
electricity_load,s53,F11,adam,classification,2,312,1,-0.587920332804871,3.9039309027145545e-05,1.939799243041096e-05,0.0001200707080959453,-3.7618029259845627,1.3407613172290488e-05,0.8210846426761277,1.6678235294117645,0.0912704752994491
electricity_load,s53,F11,adam,classification,3,313,1,-1.7021053837127107,4.242782250044841e-05,1.871301194582509e-05,0.0001279044133795394,-3.6985121424871155,4.8227677068112904e-05,0.8218449062341612,1.6678235294117645,0.0912704752994491
electricity_load,s106,F0,sgd,regression,0,52,1,-1.0073515081398177,8.22133766078754e-05,2.375295130857485e-05,0.0003002434734322257,-3.790451860320264,8.382233467534112e-05,0.5063108503273626,0.593,0.14557868823195616
electricity_load,s106,F0,sgd,regression,1,53,1,0.12303370265319448,7.317707886315396e-05,1.8199958495855473e-05,0.00031129104161419977,-3.8612558575610674,0.00035863018169965524,0.5046021626756441,0.593,0.14557868823195616
electricity_load,s106,F0,sgd,regression,2,47,1,-1.185704734932843,6.939110805673743e-05,2.3987151219004806e-05,0.00027036852866131454,-3.842844660216634,4.117668281439143e-05,0.5056403552113035,0.593,0.14557868823195616
electricity_load,s106,F0,sgd,regression,3,51,1,3.48747707743751,9.762931260361412e-05,2.7994924566832142e-05,0.0003320675651406732,-3.8632122127724537,1.0039969486114918e-05,0.5054528265155446,0.593,0.14557868823195616
electricity_load,s106,F0,sgd,classification,0,673,1,-4.342826256507094,6.734394115493337e-05,3.906924990025273e-05,9.585066909591946e-05,-3.2775151020630258,3.620689818589474e-05,0.7961226558540294,0.593,0.14557868823195616
electricity_load,s106,F0,sgd,classification,1,684,1,-2.833499414690053,6.977611485423776e-05,5.4785158555098045e-05,8.214756281075183e-05,-3.2844833241928884,4.761803373734894e-05,0.7987835783071465,0.593,0.14557868823195616
electricity_load,s106,F0,sgd,classification,2,629,1,-2.51374215160179,6.328271557084114e-05,4.716357086129857e-05,7.652149230687054e-05,-3.3203701149538962,3.982500685812571e-05,0.8037252914343639,0.593,0.14557868823195616
electricity_load,s106,F0,sgd,classification,3,655,1,-4.560315543829977,6.836910339028916e-05,3.498582908130984e-05,9.965525296693574e-05,-3.2779212271401668,3.657931198467584e-05,0.798910288900152,0.593,0.14557868823195616
electricity_load,s106,F0,adam,regression,0,46,1,-1.3436717443808617,0.001384074401141523,0.00034698096283519145,0.004786089438306488,-2.915908955530106,0.0003616907898238468,0.5052877001249666,0.593,0.14557868823195616
electricity_load,s106,F0,adam,regression,1,46,1,-0.2627902337425253,0.0013205710843230043,0.00030674320966314747,0.004585479871925876,-2.9151169206081393,0.003380319619940451,0.5042154130048955,0.593,0.14557868823195616
electricity_load,s106,F0,adam,regression,2,44,1,0.42305084141324845,0.0014885989310853187,0.0004550565891272119,0.004947258993439847,-2.913559439086808,0.0009439043771148684,0.5099305938113307,0.593,0.14557868823195616
electricity_load,s106,F0,adam,regression,3,46,1,0.5599780553819981,0.001360101877915935,0.00037667995627462203,0.004924169870558901,-2.889727587345278,0.0045994213940980366,0.5060568753019729,0.593,0.14557868823195616
electricity_load,s106,F0,adam,classification,0,110,1,-1.6608419372098153,8.033896570140231e-05,2.7077514885131294e-05,0.00019843745767398856,-3.945220575059292,6.277983106059216e-05,0.8175367460719716,0.593,0.14557868823195616
electricity_load,s106,F0,adam,classification,1,113,1,0.2885864609513467,6.738249764981169e-05,1.7387969153885814e-05,0.00017950897129124873,-3.998129879383282,0.00010255767236625383,0.8101875316776482,0.593,0.14557868823195616
electricity_load,s106,F0,adam,classification,2,96,1,-0.9720581100846681,6.823406410790422e-05,2.7121514209796982e-05,0.00015961657692694948,-3.9975543944453173,5.2500536625902394e-05,0.8180435884439939,0.593,0.14557868823195616
electricity_load,s106,F0,adam,classification,3,102,1,2.961178629351024,8.596190161934842e-05,2.7855131040762602e-05,0.00020404074673828636,-3.9942513364011334,0.0001050982263655429,0.7944754181449569,0.593,0.14557868823195616
electricity_load,s106,F4,sgd,regression,0,41,1,-2.508413750729262,8.731822336379398e-05,4.531892001131452e-05,0.0002815076009881357,-3.333450862369299,0.00010042618104937416,0.613540075280384,0.593,0.14557868823195616
electricity_load,s106,F4,sgd,regression,1,42,1,-1.5786702835903268,8.593504921702348e-05,3.9508689056669215e-05,0.00032965437556518233,-3.346375287949767,0.00035550222856607855,0.6132970624269106,0.593,0.14557868823195616
electricity_load,s106,F4,sgd,regression,2,40,1,-0.7819792115209578,7.290177616164418e-05,3.4970045850934905e-05,0.0002674774395477993,-3.4106668472836374,2.7270847986484662e-05,0.6144360182662459,0.593,0.14557868823195616
electricity_load,s106,F4,sgd,regression,3,41,1,-0.3410093424650557,8.917391109044623e-05,4.368407478423146e-05,0.00032403954119552864,-3.361307374378418,2.462942103219152e-05,0.614379938155357,0.593,0.14557868823195616
electricity_load,s106,F4,sgd,classification,0,899,1,-1.207440963168203,0.0008764624691265268,0.0007794814014946814,0.0009776764302973065,-2.573976829812436,0.0007608438490454818,0.811454637607704,0.593,0.14557868823195616
