block,model,noise,optimizer,filter,seed,steps,conv100,t_drop100,t_eps,eps_hit,slope,floor_p10,floor_p50,floor_p90,auc,holdout,elapsed_s
A,quadratic,N1,sgd,F1,20,4000,1,360,301,1,0.23765142485526136,0.0010953464772354429,0.0016566133097298073,0.0025980030006133603,-2.6462577487156387,0.017193166131032504,0.03154837497277185
A,quadratic,N1,sgd,F1,21,4000,1,293,248,1,-0.7348276863139421,0.0008766446126703363,0.0015650265964000164,0.002280980057691389,-2.631694051168099,0.020994541985665218,0.04698300000745803
A,quadratic,N1,sgd,F1,22,4000,1,350,253,1,-1.0937377447621486,0.0008975354653612431,0.0014318054318534878,0.0020124821729727554,-2.682540677460992,0.017982570173268694,0.045517624996136874
A,quadratic,N1,sgd,F1,23,4000,1,277,241,1,0.5035024088154374,0.0011404558336371422,0.0016784857107087483,0.0025618243072179493,-2.670014483940836,0.018234668096078727,0.03486320801312104
A,quadratic,N1,sgd,F1,24,4000,1,255,188,1,-0.6890320351332778,0.0009662131146978005,0.0016222930131289319,0.002759208239677082,-2.7019936359723804,0.011199378818108676,0.03323270799592137
A,quadratic,N1,sgd,F1,25,4000,1,345,309,1,-0.8072070118201424,0.0008597701904333568,0.0014471407184367085,0.0021375185150362096,-2.63255581362227,0.01741432603451427,0.03951295797014609
A,quadratic,N1,sgd,F1,26,4000,1,249,147,1,0.29829248343873493,0.0010414585791321727,0.0015667750878652388,0.0020913492757680236,-2.7229648535318076,0.017537142553666788,0.04178929200861603
A,quadratic,N1,sgd,F1,27,4000,1,311,182,1,1.6970825360313884,0.000976051640638915,0.0014425733689042283,0.0021692351200949464,-2.7201684278764953,0.020788782016529,0.035915291984565556
A,quadratic,N1,sgd,F1,28,4000,1,272,229,1,0.25856690134887467,0.0012982386021307838,0.0017062247862071065,0.00236624614679793,-2.6727024404661526,0.021825498377433597,0.02961774996947497
A,quadratic,N1,sgd,F1,29,4000,1,341,244,1,-1.6038039049977657,0.0011341167631117625,0.001826667370053469,0.002385919050856567,-2.6728244374159837,0.018840047310746764,0.030969540996011347
A,quadratic,N1,sgd,F1,30,4000,1,359,229,1,-0.9623441759378327,0.0010318041156821215,0.0017389277245815132,0.002388748021543063,-2.6848356181810415,0.018704458120453345,0.04102995898574591
A,quadratic,N1,sgd,F1,31,4000,1,428,230,1,1.252101412956878,0.0010185993446434807,0.001891993000539151,0.0026011468341063508,-2.6841941450199593,0.018799689780653724,0.03723829099908471
A,quadratic,N1,sgd,F1,32,4000,1,328,223,1,-0.24663297819623675,0.0009249523766771592,0.0014823384374335917,0.0024111590723009126,-2.6794604142681617,0.013667716699102708,0.02605395799037069
A,quadratic,N1,sgd,F1,33,4000,1,273,204,1,-0.4651045624312783,0.0010227312507791848,0.001456585193605816,0.0024985064630293715,-2.7009947021895004,0.01637481325045907,0.03403762500965968
A,quadratic,N1,sgd,F1,34,4000,1,271,222,1,0.5887079881133892,0.0007371521026883995,0.0016207184424146593,0.001975877405795335,-2.7485165358969943,0.013175566962593708,0.034685916965827346
A,quadratic,N1,sgd,F1,35,4000,1,318,179,1,0.2733209933217091,0.0010381533880490193,0.0015958237175225124,0.002434163711354071,-2.7160148597558,0.019327170596995555,0.0410850839689374
A,quadratic,N1,sgd,F1,36,4000,1,387,302,1,-0.16234676545025614,0.0009780873281589307,0.0017378876470100972,0.0025061983672102234,-2.645063285967805,0.021561293801093305,0.03290495800320059
