data,ticker,filter,optimizer,t_conv,final_grad,steps
5min,SPY,F1,adam,252,4.1948116628521445e-45,4000
5min,SPY,F1,adamw,252,1.0437223438578285e-24,4000
5min,SPY,F2,sgd,4000,2.6652506504821825e-16,4000
5min,SPY,F2,adam,497,4.475351274473141e-21,4000
5min,SPY,F2,adamw,497,4.512423262339101e-21,4000
5min,SPY,F3,sgd,4000,3.7479465598443236e-16,4000
5min,SPY,F3,adam,66,8.39499719891212e-49,4000
5min,SPY,F3,adamw,66,9.511056510109158e-28,4000
5min,SPY,F4,sgd,4000,3.141040032579866e-15,4000
5min,SPY,F4,adam,208,3.466460765572944e-45,4000
5min,SPY,F4,adamw,208,5.248884008608094e-25,4000
5min,SPY,FA,sgd,4000,5.176910686408845e-15,4000
5min,SPY,FA,adam,199,3.5412138149728684e-45,4000
5min,SPY,FA,adamw,199,6.0059834225002855e-25,4000
1min,AAPL,F0,sgd,4000,1.4275098426757514e-16,4000
1min,AAPL,F0,adam,53,2.55978498074821e-48,4000
1min,AAPL,F0,adamw,53,2.6401649710220768e-27,4000
1min,AAPL,F1,sgd,4000,1.9763070530295506e-15,4000
1min,AAPL,F1,adam,336,1.5643258014856174e-32,4000
1min,AAPL,F1,adamw,336,8.640410726452356e-25,4000
1min,AAPL,F2,sgd,4000,4.487695690771748e-17,4000
1min,AAPL,F2,adam,1050,3.5390694859045044e-21,4000
1min,AAPL,F2,adamw,1050,3.5669751910562955e-21,4000
1min,AAPL,F3,sgd,4000,1.4275098426757519e-16,4000
1min,AAPL,F3,adam,53,4.896553151416869e-48,4000
1min,AAPL,F3,adamw,53,2.640164971260517e-27,4000
1min,AAPL,F4,sgd,4000,1.626446127644929e-15,4000
1min,AAPL,F4,adam,255,3.5333580986649984e-45,4000
1min,AAPL,F4,adamw,255,5.7858442683833565e-25,4000
1min,AAPL,FA,sgd,4000,1.1749313510655482e-15,4000
1min,AAPL,FA,adam,278,7.816532867179558e-41,4000
1min,AAPL,FA,adamw,278,5.266650800836676e-25,4000
1min,BTC-USD,F0,sgd,4000,1.7882590574854017e-16,4000
1min,BTC-USD,F0,adam,48,6.737104924904112e-48,4000
1min,BTC-USD,F0,adamw,48,1.2590670885054672e-27,4000
1min,BTC-USD,F1,sgd,4000,5.804643464702148e-15,4000
1min,BTC-USD,F1,adam,280,5.780937045102924e-39,4000
1min,BTC-USD,F1,adamw,280,9.497671988958489e-25,4000
1min,BTC-USD,F2,sgd,4000,1.6513323234098336e-16,4000
1min,BTC-USD,F2,adam,510,4.024732372732988e-21,4000
1min,BTC-USD,F2,adamw,510,4.0589028448702765e-21,4000
1min,BTC-USD,F3,sgd,4000,1.8790284168518333e-17,4000
1min,BTC-USD,F3,adam,484,1.9753867165960663e-30,4000
1min,BTC-USD,F3,adamw,484,1.3473494576536687e-25,4000
1min,BTC-USD,F4,sgd,4000,5.785946252482632e-15,4000
1min,BTC-USD,F4,adam,207,3.8174234746117116e-45,4000
1min,BTC-USD,F4,adamw,207,6.0955710422129575e-25,4000
1min,BTC-USD,FA,sgd,4000,2.9133565740028434e-15,4000
1min,BTC-USD,FA,adam,233,3.220255678113258e-45,4000
1min,BTC-USD,FA,adamw,233,5.579706572290911e-25,4000
1min,ETH-USD,F0,sgd,4000,6.9397725237197595e-16,4000
1min,ETH-USD,F0,adam,66,1.744311464236902e-48,4000
1min,ETH-USD,F0,adamw,66,2.062585576533504e-27,4000
1min,ETH-USD,F1,sgd,4000,1.1979413230723166e-14,4000
1min,ETH-USD,F1,adam,249,4.21401027480735e-45,4000
1min,ETH-USD,F1,adamw,249,1.0081721418538933e-24,4000
1min,ETH-USD,F2,sgd,4000,2.795799628670907e-16,4000
1min,ETH-USD,F2,adam,518,4.0230661500365485e-21,4000
1min,ETH-USD,F2,adamw,519,4.057983174406714e-21,4000
1min,ETH-USD,F3,sgd,4000,5.963642479463478e-18,4000
1min,ETH-USD,F3,adam,429,1.9877634150765304e-40,4000
1min,ETH-USD,F3,adamw,429,7.037585678670678e-26,4000
1min,ETH-USD,F4,sgd,4000,1.2465872346226187e-14,4000
1min,ETH-USD,F4,adam,181,4.131267966285637e-45,4000
1min,ETH-USD,F4,adamw,181,6.454233608097339e-25,4000
1min,ETH-USD,FA,sgd,4000,4.486812316179902e-15,4000
1min,ETH-USD,FA,adam,197,3.5718977055790075e-45,4000
1min,ETH-USD,FA,adamw,197,5.248663965412759e-25,4000
1min,EURUSD=X,F0,sgd,4000,5.0228538563103826e-18,4000
