model,optimizer,filter,seed,steps,conv,t_drop100,floor_p50,floor_p10,floor_p90,auc,final_grad
logistic,sgd,F1,3,4000,0,4000,0.38169343332294003,0.3597884305571491,0.40357553956488457,-0.4578212120573561,0.353826808490435
logistic,sgd,F1,4,4000,0,4000,0.15341731113047355,0.15045227357706353,0.15399323756781813,-0.7839060473108097,0.14987442924733638
logistic,sgd,F1,5,4000,0,4000,0.2678804316724793,0.24175160225135953,0.2980497397186898,-0.5575179085529912,0.2362942699957337
logistic,sgd,F1,6,4000,0,4000,0.27889753228069686,0.25679254528125545,0.3007426934485809,-0.48970609555596356,0.2533147506455478
logistic,sgd,F1,7,4000,0,4000,0.3374828946959627,0.3315242224634341,0.34587861135630094,-0.44547597564710906,0.3304706420226591
logistic,sgd,F2,0,4000,0,4000,0.2842178606068053,0.28266020610385634,0.28521945677683747,-0.5369383167675783,0.2871128454598021
logistic,sgd,F2,1,4000,0,4000,0.4022992443430465,0.39472919454654576,0.4047295881089443,-0.4601950198533946,0.4026622357001262
logistic,sgd,F2,2,4000,0,4000,0.3137803420980602,0.304102414438032,0.3204082047811384,-0.5051209638850631,0.301430979883631
logistic,sgd,F2,3,4000,0,4000,0.3818051649948204,0.3621313943006269,0.40452931301726186,-0.4593431796534453,0.35524844989881355
logistic,sgd,F2,4,4000,0,4000,0.1531031403006746,0.15117702795107463,0.15396489255268622,-0.7827926606296048,0.15053785646077944
logistic,sgd,F2,5,4000,0,4000,0.27812812405154663,0.2429992814966193,0.2994563232724361,-0.5592954587288461,0.2375263856577008
logistic,sgd,F2,6,4000,0,4000,0.27865758071801444,0.2590021009111834,0.3023827615460125,-0.49221550909814277,0.25365756038879206
logistic,sgd,F2,7,4000,0,4000,0.33822053080394854,0.3316089300761314,0.346469658261038,-0.4457456046193461,0.3306165920538948
logistic,sgd,F3,0,4000,0,4000,0.28512404474570063,0.2826398852946235,0.28623679128814106,-0.5343721119699014,0.2889346555014042
logistic,sgd,F3,1,4000,0,4000,0.4025393816086754,0.39693629783628914,0.4047092653949224,-0.45850941369138204,0.40246905849893183
logistic,sgd,F3,2,4000,0,4000,0.31488294447229204,0.30398446858011213,0.3213574918739612,-0.4980501633023089,0.3025511488257552
logistic,sgd,F3,3,4000,0,4000,0.3815187527668901,0.3594485850450785,0.4030479138000989,-0.4574814453673315,0.3534089779480029
logistic,sgd,F3,4,4000,0,4000,0.15354499619743484,0.1505128178955701,0.15409712090083885,-0.7844024803038023,0.14966791166415766
logistic,sgd,F3,5,4000,0,4000,0.26676970149654133,0.2416359473926084,0.2979891926470653,-0.5567405857552749,0.2359506445742234
logistic,sgd,F3,6,4000,0,4000,0.27863562031387334,0.2564099124537247,0.2992998951644434,-0.4892079504696842,0.25390417443701035
logistic,sgd,F3,7,4000,0,4000,0.3372922659035679,0.33158906877681704,0.34593078459432297,-0.44531741186538076,0.3303624663512597
logistic,sgd,F4,0,4000,0,4000,0.2825080089371328,0.2814244975102996,0.2833200491924827,-0.5375303225971845,0.28716529322592327
logistic,sgd,F4,1,4000,0,4000,0.40177929982084004,0.3953919602316165,0.4038021695088138,-0.4612322021446092,0.40209431749405805
