domain,model,optimizer,filter,n_cells,t_conv_med,conv_frac,floor_p50_med,slope_mean,auc_mean,holdout_med,alpha_hat_med,hurst_hat_med,speedup_vs_F0,floor_ratio_vs_F0
macro_fred,regression,adam,F7,24,20.0,1.0,0.0007262163058469144,0.0776062057122902,-3.2858306506686557,0.012453576272978308,1.9978406173916812,0.5105418743251077,1.0,1.021408652214619
macro_fred,regression,adam,FA,24,20.0,1.0,0.0007378489165571189,0.1054118519291809,-3.2803498988035336,0.019250788159756716,1.9978406173916812,0.5105418743251077,1.0,1.0053055598868723
macro_fred,regression,sgd,F0,24,29.0,1.0,7.737320467662853e-05,-0.8896068234112039,-3.6895182447300203,0.008160441549172837,1.9978406173916812,0.5105418743251077,1.0,1.0
macro_fred,regression,sgd,F1,24,28.5,1.0,7.962889413641521e-05,-0.33960236490507606,-3.9068642636087563,0.04473715792320054,1.9978406173916812,0.5105418743251077,1.0175438596491229,0.9716724753715357
macro_fred,regression,sgd,F10,24,28.0,1.0,4.785213838583015e-05,0.05137162288456093,-4.257014170495781,0.135630528322339,1.9978406173916812,0.5105418743251077,1.0357142857142858,1.6169226138395538
macro_fred,regression,sgd,F11,24,29.0,1.0,7.737320467662853e-05,-0.8896068234112039,-3.6895182447300203,0.008160441549172837,1.9978406173916812,0.5105418743251077,1.0,1.0
macro_fred,regression,sgd,F2,24,28.0,1.0,4.786445313474139e-05,0.05170234890745013,-4.256590345479262,0.1283822815655988,1.9978406173916812,0.5105418743251077,1.0357142857142858,1.6165066058274642
macro_fred,regression,sgd,F4,24,28.5,1.0,8.548783109232027e-05,-0.7557167032426327,-3.759575081615464,0.0322360643605112,1.9978406173916812,0.5105418743251077,1.0175438596491229,0.9050785788806764
macro_fred,regression,sgd,F7,24,29.0,1.0,8.647911869383686e-05,-0.6515583941762438,-3.7815533412815636,0.01725240470034707,1.9978406173916812,0.5105418743251077,1.0,0.8947038989903896
macro_fred,regression,sgd,FA,24,29.0,1.0,8.524141027463697e-05,-0.7305062329349785,-3.767782794796096,0.02449547174131518,1.9978406173916812,0.5105418743251077,1.0,0.9076950325826605
scientific_sunspots,classification,adam,F0,4,89.5,1.0,4.5769720695038236e-05,0.07463926145594346,-4.140144858696109,0.8864104323953328,1.4468,0.15735290729043636,1.0,1.0
scientific_sunspots,classification,adam,F1,4,166.0,1.0,1.603560196889825e-05,-1.6328251088275747,-4.168579800018131,0.8633035918554106,1.4468,0.15735290729043636,0.5391566265060241,2.85425647155689
