task,filter,noise,optimizer,clip,seed,t_eps,final_grad_norm_sq,final_loss,final_alpha_hat,elapsed_s
quadratic,F4,N3,adam,False,5,-1,1.2921176157440406,0.05046221857346339,,6.751290278996748
quadratic,F4,N3,adam,True,0,-1,2.852860955379552,0.1222063490434277,1.9813554534568005,6.544687786998111
quadratic,F4,N3,adam,True,1,-1,2.2920188317232983,0.17706892957265122,1.9224989372031942,6.675970294003491
quadratic,F4,N3,adam,True,2,-1,2.2665051671804575,0.1437980287047684,1.6204238881329474,10.401654651999706
quadratic,F4,N3,adam,True,3,-1,2.1166048613763317,0.22225185058837987,2.0,10.415671989001567
quadratic,F4,N3,adam,True,4,-1,0.9924491634318355,0.052688839261427145,1.9920248826060798,10.414197292004246
quadratic,F4,N3,adam,True,5,-1,1.2921176157440406,0.05046221857346339,2.0,10.381406485998014
quadratic,F4,N4,sgd,False,0,-1,0.7490044446109932,-0.08105749688803165,,14.817403067994746
quadratic,F4,N4,sgd,False,1,-1,1.0750207541290924,0.07244299325189785,,14.818038819998037
quadratic,F4,N4,sgd,False,2,-1,1.1133727210418087,0.03989178444214564,,14.51336176499899
quadratic,F4,N4,sgd,False,3,-1,0.7062730123629855,0.034788064573994415,,8.657728733000113
quadratic,F4,N4,sgd,False,4,-1,0.8795926875562056,0.03434976789885208,,8.63358900500316
quadratic,F4,N4,sgd,False,5,-1,2.0992703150448255,0.10917155262447314,,14.651298909993784
quadratic,F4,N4,sgd,True,0,-1,0.7490044446109932,-0.08105749688803165,1.8726092794904394,8.747878349997336
quadratic,F4,N4,sgd,True,1,-1,1.0750207541290924,0.07244299325189785,1.9564020865160097,8.638134645996615
quadratic,F4,N4,sgd,True,2,-1,1.1133727210418087,0.03989178444214564,1.8061405947727378,14.795672913998715
quadratic,F4,N4,sgd,True,3,-1,0.7062730123629855,0.034788064573994415,2.0,14.670570462003525
quadratic,F4,N4,sgd,True,4,-1,0.8795926875562056,0.03434976789885208,1.7685598895325731,14.672915632996592
quadratic,F4,N4,sgd,True,5,-1,2.0992703150448255,0.10917155262447314,1.6710225057588148,8.758092815005512
quadratic,F4,N4,adam,False,0,-1,1.3196115675623568,0.005252793047715532,,14.81866867899953
quadratic,F4,N4,adam,False,1,-1,2.981296006865653,0.24414207795637632,,8.701648721005768
quadratic,F4,N4,adam,False,2,-1,2.6657255782028213,0.19028757600172985,,8.849230583000463
quadratic,F4,N4,adam,False,3,-1,1.642631178977273,0.13709993320155153,,8.715267386003688
quadratic,F4,N4,adam,False,4,-1,2.289647766376792,0.1994309026989945,,14.703634707002493
quadratic,F4,N4,adam,False,5,-1,3.00822285437244,0.24083107484856517,,14.948433326004306
quadratic,F4,N4,adam,True,0,-1,1.3196115675623568,0.005252793047715532,1.653242188705902,14.949329240000225
quadratic,F4,N4,adam,True,1,-1,2.981296006865653,0.24414207795637632,1.91492770594452,8.88045743600378
quadratic,F4,N4,adam,True,2,-1,2.6657255782028213,0.19028757600172985,2.0,14.593114339004387
quadratic,F4,N4,adam,True,3,-1,1.642631178977273,0.13709993320155153,1.930984091869734,8.812108819998684
quadratic,F4,N4,adam,True,4,-1,2.289647766376792,0.1994309026989945,1.8927943708572312,8.657172375998925
quadratic,F4,N4,adam,True,5,-1,3.00822285437244,0.24083107484856517,1.7781825728795235,8.76970738700038
quadratic,F7,N3,sgd,False,0,-1,0.8118430951689795,-0.06862490805405264,,11.017489252000814
quadratic,F7,N3,sgd,False,1,-1,0.6119700685876096,0.011447070300969114,,10.983168924998608
quadratic,F7,N3,sgd,False,2,-1,0.8291662285560759,-0.003692204861881848,,10.984837411997432
quadratic,F7,N3,sgd,False,3,-1,0.6718696676542577,0.04087470121666846,,11.056792103998305
quadratic,F7,N3,sgd,False,4,-1,0.4685343394671383,-0.013391081399967641,,7.085006155997689
quadratic,F7,N3,sgd,False,5,-1,0.46965560682729496,-0.04651749764274499,,10.688103079999564
quadratic,F7,N3,sgd,True,0,-1,0.8118430951689795,-0.06862490805405264,1.643474523869092,10.936753588997817
quadratic,F7,N3,sgd,True,1,-1,0.6119700685876096,0.011447070300969114,2.0,10.937289301000419
quadratic,F7,N3,sgd,True,2,-1,0.8291662285560759,-0.003692204861881848,1.8886055712240646,7.033224314000108
quadratic,F7,N3,sgd,True,3,-1,0.6718696676542577,0.04087470121666846,1.958096921872675,6.836338032997446
quadratic,F7,N3,sgd,True,4,-1,0.4685343394671383,-0.013391081399967641,1.9812798129482563,7.159418289003952
quadratic,F7,N3,sgd,True,5,-1,0.46965560682729496,-0.04651749764274499,1.782250612939627,10.946101852998254
quadratic,F7,N3,adam,False,0,-1,1.4251252411696642,0.0024412395862988268,,7.050336918000539
quadratic,F7,N3,adam,False,1,-1,1.8137089624004448,0.136316755982493,,11.039802601997508
quadratic,F7,N3,adam,False,2,-1,1.6705378059608136,0.08965957674173647,,11.047166996999294
quadratic,F7,N3,adam,False,3,-1,1.6305709607418528,0.1643655390741383,,11.045314257004065
quadratic,F7,N3,adam,False,4,-1,0.6171013696224655,0.011396958793902623,,11.018097339001542
quadratic,F7,N3,adam,False,5,-1,0.9052430885939827,0.01263452734094589,,7.0712306310015265
quadratic,F7,N3,adam,True,0,-1,1.4251252411696642,0.0024412395862988268,1.6922523809179109,6.936653677999857
quadratic,F7,N3,adam,True,1,-1,1.8137089624004448,0.136316755982493,1.9592495459117059,7.1090042180003366
quadratic,F7,N3,adam,True,2,-1,1.6705378059608136,0.08965957674173647,1.7915453812403932,10.839332030998776
quadratic,F7,N3,adam,True,3,-1,1.6305709607418528,0.1643655390741383,1.9258735441273267,11.030969835999713
quadratic,F7,N3,adam,True,4,-1,0.6171013696224655,0.011396958793902623,2.0,11.03015817800042
quadratic,F7,N3,adam,True,5,-1,0.9052430885939827,0.01263452734094589,1.913387787639102,7.201765566998802
quadratic,F7,N4,sgd,False,0,-1,0.8682525727122455,-0.06961983917455389,,9.188967480004067
quadratic,F7,N4,sgd,False,1,-1,1.0557661279285175,0.06919537880573831,,9.108915174998401
quadratic,F7,N4,sgd,False,2,-1,1.8367613788672854,0.07869723324437977,,15.097719634999521
quadratic,F7,N4,sgd,False,3,-1,0.6472247395593657,0.028501617722934844,,9.217653828993207
quadratic,F7,N4,sgd,False,4,-1,0.8887302328635243,0.037135970043694067,,15.398127784996177
quadratic,F7,N4,sgd,False,5,-1,1.8098712951951994,0.0867947978372961,,15.354596069002582
quadratic,F7,N4,sgd,True,0,-1,0.8682525727122455,-0.06961983917455389,1.954841647207722,15.354317370001809
quadratic,F7,N4,sgd,True,1,-1,1.0557661279285175,0.06919537880573831,1.9045354035680626,15.409436026006006
quadratic,F7,N4,sgd,True,2,-1,1.8367613788672854,0.07869723324437977,1.6329331943768313,9.313471762994595
quadratic,F7,N4,sgd,True,3,-1,0.6472247395593657,0.028501617722934844,1.9004961308830062,15.340153839999402
quadratic,F7,N4,sgd,True,4,-1,0.8887302328635243,0.037135970043694067,2.0,15.616040702996543
quadratic,F7,N4,sgd,True,5,-1,1.8098712951951994,0.0867947978372961,1.9906437739061371,15.617373651002708
quadratic,F7,N4,adam,False,0,-1,1.4861001328430403,0.012159356179086589,,9.291682820999995
quadratic,F7,N4,adam,False,1,-1,1.857520060415149,0.1440952756402888,,9.264383547000762
quadratic,F7,N4,adam,False,2,-1,1.9733727590338908,0.10910017060071922,,9.32295795299433
quadratic,F7,N4,adam,False,3,-1,1.165085736929261,0.0791460532917953,,9.50762107000628
quadratic,F7,N4,adam,False,4,-1,2.257106798158418,0.15765744805119025,,15.32147047699982
quadratic,F7,N4,adam,False,5,-1,2.4097047230331774,0.17136939168473764,,15.714354313997319
quadratic,F7,N4,adam,True,0,-1,1.4861001328430403,0.012159356179086589,1.7773453410140232,15.713522124999145
quadratic,F7,N4,adam,True,1,-1,1.857520060415149,0.1440952756402888,2.0,15.716001168999355
quadratic,F7,N4,adam,True,2,-1,1.9733727590338908,0.10910017060071922,1.6439562237344896,9.447832732003008
quadratic,F7,N4,adam,True,3,-1,1.165085736929261,0.0791460532917953,2.0,9.300023925999994
quadratic,F7,N4,adam,True,4,-1,2.257106798158418,0.15765744805119025,1.9095397298093655,15.708093590998033
quadratic,F7,N4,adam,True,5,-1,2.4097047230331774,0.17136939168473764,1.8531861776746306,9.3916864779967
logistic,F0,N3,sgd,False,0,-1,0.20174179629334962,7.575092722465433,,2.061222470001667
logistic,F0,N3,sgd,False,1,-1,0.24583022872556984,11.9359509098917,,1.2463378850006848
logistic,F0,N3,sgd,False,2,-1,0.12053458689295393,1.5431989116627747,,2.054853382993315
