regime,gamma,day,filter,rv_est,iv_true,rel_err
gauss,0.5,42,F3 Wavelet,3.184895123354057e-05,0.00042469758987786127,0.925007930365934
gauss,0.5,42,F4 Median,0.00015716065157233433,0.00042469758987786127,0.6299469191300753
gauss,0.5,42,FA online,0.00010245830228203744,0.00042469758987786127,0.7587499794583167
gauss,0.5,43,F0 raw,0.0006087680509417825,0.0004004063551247001,0.5203755963168752
gauss,0.5,43,F1 MA,8.944817723933706e-05,0.0004004063551247001,0.7766064996359016
gauss,0.5,43,F2 Kalman,2.2933472579357885e-05,0.0004004063551247001,0.9427245040298732
gauss,0.5,43,F3 Wavelet,3.5151129214067705e-05,0.0004004063551247001,0.9122113603738371
gauss,0.5,43,F4 Median,0.0001671068133196042,0.0004004063551247001,0.5826569404285268
gauss,0.5,43,FA online,8.980667842462808e-05,0.0004004063551247001,0.775711156241116
gauss,0.5,44,F0 raw,0.0005614967294766439,0.00039994755355988337,0.4039259009808447
gauss,0.5,44,F1 MA,9.730450472544433e-05,0.00039994755355988337,0.7567068385358304
gauss,0.5,44,F2 Kalman,2.8791255447862847e-05,0.00039994755355988337,0.9280124226499312
gauss,0.5,44,F3 Wavelet,4.889148812520041e-05,0.00039994755355988337,0.8777552514322856
gauss,0.5,44,F4 Median,0.00018121257575287765,0.00039994755355988337,0.5469091531128842
gauss,0.5,44,FA online,0.00010210823991195459,0.00039994755355988337,0.7446959257455087
gauss,0.5,45,F0 raw,0.0006435352794683879,0.0004089559390261547,0.5736054133382587
gauss,0.5,45,F1 MA,9.193152961492059e-05,0.0004089559390261547,0.7752043170375841
gauss,0.5,45,F2 Kalman,2.505613491149151e-05,0.0004089559390261547,0.938731456080189
gauss,0.5,45,F3 Wavelet,3.591865317522253e-05,0.0004089559390261547,0.912169870278066
gauss,0.5,45,F4 Median,0.00016639917985383063,0.0004089559390261547,0.5931122060482202
gauss,0.5,45,FA online,9.540440079001658e-05,0.0004089559390261547,0.7667122746347621
gauss,0.5,46,F0 raw,0.0005973265939383935,0.00038931282492491327,0.5343100861205891
gauss,0.5,46,F1 MA,0.00010209847724472303,0.00038931282492491327,0.7377469461366583
gauss,0.5,46,F2 Kalman,2.9957396822303923e-05,0.00038931282492491327,0.9230505780843932
gauss,0.5,46,F3 Wavelet,4.851343979542565e-05,0.00038931282492491327,0.8753869980913616
gauss,0.5,46,F4 Median,0.00018330160902748095,0.00038931282492491327,0.5291662712040521
gauss,0.5,46,FA online,0.00010559532313270814,0.00038931282492491327,0.7287648482860171
gauss,0.5,47,F0 raw,0.0005163464781624549,0.00039869488590733935,0.2950918018107184
gauss,0.5,47,F1 MA,8.69529478634286e-05,0.00039869488590733935,0.7819060365784644
gauss,0.5,47,F2 Kalman,2.4190897710485965e-05,0.00039869488590733935,0.9393247855300854
gauss,0.5,47,F3 Wavelet,4.166749210571567e-05,0.00039869488590733935,0.8954902769547949
gauss,0.5,47,F4 Median,0.0001605654034700745,0.00039869488590733935,0.5972724779133698
gauss,0.5,47,FA online,9.003843584286792e-05,0.00039869488590733935,0.7741670660310557
gauss,0.5,48,F0 raw,0.0006375102720652182,0.0003812072922698758,0.6723454272587542
gauss,0.5,48,F1 MA,7.156756029110347e-05,0.0003812072922698758,0.8122607784731537
gauss,0.5,48,F2 Kalman,1.560105413157823e-05,0.0003812072922698758,0.9590746178052295
gauss,0.5,48,F3 Wavelet,2.0378997886041912e-05,0.0003812072922698758,0.9465409022878435
gauss,0.5,48,F4 Median,0.00012563765065940266,0.0003812072922698758,0.6704217017693946
gauss,0.5,48,FA online,7.70214998306039e-05,0.0003812072922698758,0.7979537606114929
gauss,0.5,49,F0 raw,0.0006329854907635116,0.00041554515007672147,0.5232652592543662
gauss,0.5,49,F1 MA,8.625369133877705e-05,0.00041554515007672147,0.7924324436878829
gauss,0.5,49,F2 Kalman,2.1996823982692408e-05,0.00041554515007672147,0.9470651408670486
gauss,0.5,49,F3 Wavelet,3.4704566463422e-05,0.00041554515007672147,0.9164842461594979
gauss,0.5,49,F4 Median,0.00015103624569112788,0.00041554515007672147,0.6365346926483385
gauss,0.5,49,FA online,0.00010686166240889323,0.00041554515007672147,0.7428398276597296
gauss,0.5,50,F0 raw,0.000630245060379691,0.00042437381082185304,0.48511770591861575
