mode,task,filter,noise,optimizer,seed,steps,lr,t_eps,final_grad_norm_sq,final_loss,holdout_metric,elapsed_s
buffer,quadratic,F2,N3,sgd,1,2000,0.01,-1,2.1363046698212607,0.23906746631158488,0.4952016588076308,2.897349385995767
buffer,quadratic,F2,N3,sgd,2,2000,0.01,-1,1.7443478979768785,0.13692147594499,0.4771204928111085,2.9198795600023004
buffer,quadratic,F2,N3,sgd,3,2000,0.01,-1,1.9882365821864747,0.1555614426653718,0.3617212488684741,2.9191085179991205
buffer,quadratic,F2,N3,sgd,4,2000,0.01,-1,2.382649713378633,0.17945442497544103,0.40778951550506354,1.758358731000044
buffer,quadratic,F2,N3,adam,0,2000,0.01,-1,49.5496311827006,2.8965812373394915,1.0154846284828338,2.95181839500583
buffer,quadratic,F2,N3,adam,1,2000,0.01,-1,74.66321628523043,4.373034920487376,1.112475475248616,2.952705496994895
buffer,quadratic,F2,N3,adam,2,2000,0.01,-1,104.83803774273892,5.747918585850718,1.2417068085866694,1.75313237800583
buffer,quadratic,F2,N3,adam,3,2000,0.01,-1,30.534370897418523,1.8934830204510398,0.7848924849397884,1.7279628690012032
buffer,quadratic,F2,N3,adam,4,2000,0.01,-1,27.146464701936484,1.7279837514698861,0.7667133836721928,1.7529412990043056
buffer,quadratic,F2,N3,adamw,0,2000,0.01,-1,49.63069690856797,2.900802172674564,1.0159345448411266,2.9443392570028664
buffer,quadratic,F2,N3,adamw,1,2000,0.01,-1,74.65476557906663,4.372488545568998,1.1124202556115923,2.9514823040008196
buffer,quadratic,F2,N3,adamw,2,2000,0.01,-1,104.82549513682034,5.747013513719469,1.241597658318466,2.9299825640046038
buffer,quadratic,F2,N3,adamw,3,2000,0.01,-1,30.529600265239566,1.893277613511191,0.7848521149429616,1.7623526400057017
buffer,quadratic,F2,N3,adamw,4,2000,0.01,-1,27.18602180934731,1.730214164161979,0.7670415315794806,1.706524248002097
buffer,quadratic,F2,N4,sgd,0,2000,0.01,-1,3.6078433049922354,0.1638652926683355,0.4384752823734999,4.005329816995072
buffer,quadratic,F2,N4,sgd,1,2000,0.01,-1,2.3317005666227666,0.16128008014222733,0.365679908056786,6.8659829839962185
buffer,quadratic,F2,N4,sgd,2,2000,0.01,-1,14.943252163242713,1.4515104047104446,1.173815533988253,3.9734608409999055
buffer,quadratic,F2,N4,sgd,3,2000,0.01,-1,3.390097022305542,0.34296382182663987,0.5525921404550876,6.730962735004141
