noise,sigma,filter,optimizer,seed,final_grad_norm_sq,holdout_acc
N3,0.4,F0,sgd,3,0.0335613910014991,0.787
N3,0.4,F0,adam,0,0.05433392559659639,0.731
N3,0.4,F0,adam,1,0.02358364896485549,0.81
N3,0.4,F0,adam,2,0.02411322928732091,0.799
N3,0.4,F0,adam,3,0.041368737729531924,0.772
N3,0.4,F2,sgd,0,0.10285531825857006,0.679
N3,0.4,F2,sgd,1,0.020754154219133975,0.815
N3,0.4,F2,sgd,2,0.02536654866489741,0.798
N3,0.4,F2,sgd,3,0.0352903154785282,0.786
N3,0.4,F2,adam,0,0.07580328896635806,0.722
N3,0.4,F2,adam,1,0.030214514765611402,0.81
N3,0.4,F2,adam,2,0.039683561654133365,0.774
N3,0.4,F2,adam,3,0.05214519191447876,0.752
N3,0.4,F4,sgd,0,0.01774103271782194,0.795
N3,0.4,F4,sgd,1,0.016789083334299272,0.81
N3,0.4,F4,sgd,2,0.02311644379782455,0.796
N3,0.4,F4,sgd,3,0.013661348582012966,0.823
N3,0.4,F4,adam,0,0.02666155865311457,0.769
N3,0.4,F4,adam,1,0.031297912460996426,0.777
N3,0.4,F4,adam,2,0.03261457937623965,0.789
N3,0.4,F4,adam,3,0.019696566223315976,0.809
N3,0.4,F7,sgd,0,0.016821009034206948,0.794
N3,0.4,F7,sgd,1,0.012423941092532009,0.817
N3,0.4,F7,sgd,2,0.01964112816329873,0.805
N3,0.4,F7,sgd,3,0.012109742415533266,0.816
N3,0.4,F7,adam,0,0.02290105353703263,0.778
N3,0.4,F7,adam,1,0.023004772938544315,0.799
N3,0.4,F7,adam,2,0.02730874445989721,0.798
N3,0.4,F7,adam,3,0.015894442846944978,0.809
N3,0.4,F8,sgd,0,0.017536819540286325,0.795
N3,0.4,F8,sgd,1,0.012766039500348192,0.814
N3,0.4,F8,sgd,2,0.019387334624609055,0.809
N3,0.4,F8,sgd,3,0.011907817067390207,0.816
N3,0.4,F8,adam,0,0.023342955251727547,0.778
N3,0.4,F8,adam,1,0.023527154861456026,0.798
N3,0.4,F8,adam,2,0.02761918906216787,0.798
N3,0.4,F8,adam,3,0.015837665675820355,0.81
N3,0.6,F0,sgd,0,0.13261429165074537,0.632
N3,0.6,F0,sgd,1,0.02583350032236615,0.808
N3,0.6,F0,sgd,2,0.04659218941492183,0.763
N3,0.6,F0,sgd,3,0.06443341344649008,0.746
N3,0.6,F0,adam,0,0.0798542577439614,0.701
