ticker,filter,optimizer,snr_target,holdout_mse,snr_in_db,snr_out_db
crypto,F4 Median,sgd,0.0,0.11942655658358622,3.328058022617191e-10,6.498943369931254
crypto,F4 Median,adam,0.0,0.11928170234066228,3.328058022617191e-10,6.498943369931254
crypto,F4 Median,adamw,0.0,0.11928182745219298,3.328058022617191e-10,6.498943369931254
crypto,F0,sgd,-3.0,0.29473080986162553,-2.999999999667196,-2.4142523452467386
crypto,F0,adam,-3.0,0.29473080986162553,-2.999999999667196,-2.4142523452467386
crypto,F0,adamw,-3.0,0.2947307241938171,-2.999999999667196,-2.4142523452467386
crypto,F1 MA,sgd,-3.0,0.19748494432560387,-2.999999999667196,4.830389355968317
crypto,F1 MA,adam,-3.0,0.1975143748896929,-2.999999999667196,4.830389355968317
crypto,F1 MA,adamw,-3.0,0.1975143133036173,-2.999999999667196,4.830389355968317
crypto,F2 Kalman,sgd,-3.0,0.13763078307680948,-2.999999999667196,10.624823784167827
crypto,F2 Kalman,adam,-3.0,0.13072033689002402,-2.999999999667196,10.624823784167827
crypto,F2 Kalman,adamw,-3.0,0.1307216299218317,-2.999999999667196,10.624823784167827
crypto,F3 Wavelet,sgd,-3.0,0.03694685245332693,-2.999999999667196,15.641952094728351
crypto,F3 Wavelet,adam,-3.0,0.03692551724887918,-2.999999999667196,15.641952094728351
crypto,F3 Wavelet,adamw,-3.0,0.036925571501036605,-2.999999999667196,15.641952094728351
crypto,F4 Median,sgd,-3.0,0.21488018562153732,-2.999999999667196,3.4990788405845046
crypto,F4 Median,adam,-3.0,0.2148739059345451,-2.999999999667196,3.4990788405845046
crypto,F4 Median,adamw,-3.0,0.21487395831197678,-2.999999999667196,3.4990788405845046
