domain,model,optimizer,filter,n_cells,causal,t_conv_med,conv_frac,floor_p50_med,slope_mean,auc_mean,holdout_med,alpha_hat_med,hurst_hat_med,speedup_vs_F0,floor_ratio_vs_F0,bucket
cmapss_turbofan,regression,sgd,F5,24,1,53.5,1.0,4.289210065784296e-05,0.018522387221433678,-4.217002095691355,1.0222395323604276,2.0,0.0994538654098711,1.1775700934579438,1.109171186592389,light_short
cmapss_turbofan,regression,sgd,F6,24,1,63.0,1.0,4.757468218209986e-05,0.42051690090379035,-4.089095558472075,0.30764850067798755,2.0,0.0994538654098711,1.0,1.0,light_short
cmapss_turbofan,regression,sgd,F7,24,1,61.0,1.0,5.236339324119873e-05,-1.3772376816114547,-3.74428977103288,0.2826650540086393,2.0,0.0994538654098711,1.0327868852459017,0.908548496140407,light_short
electricity_load,classification,adam,F0,16,1,254.5,1.0,3.078494984344418e-05,-0.8299477102125719,-3.967947874997224,0.897934617334009,1.8723999999999998,0.7899848755568584,1.0,1.0,heavy_long
electricity_load,classification,adam,F1,16,1,351.0,1.0,4.5826426266380976e-05,-1.5006077590750502,-3.861449628439417,0.510707045108971,1.8723999999999998,0.7899848755568584,0.7250712250712251,0.6717728688791195,heavy_long
electricity_load,classification,adam,F2,16,1,350.0,1.0,2.4046775931087757e-05,-1.7032574452781912,-4.064292830123603,0.586796756208819,1.8723999999999998,0.7899848755568584,0.7271428571428571,1.2802111156882903,heavy_long
electricity_load,classification,adam,F3,16,0,381.5,1.0,4.8469216345545685e-05,-1.4097589020423147,-3.8159000387656534,0.8979346173340091,1.8723999999999998,0.7899848755568584,0.6671035386631717,0.6351443692419697,heavy_long
electricity_load,classification,adam,F4,16,1,310.5,1.0,2.8525625497516113e-05,-1.8119327647020522,-3.8837892597632147,0.6617460719716168,1.8723999999999998,0.7899848755568584,0.8196457326892109,1.0792033235563863,heavy_long
electricity_load,classification,adam,F5,16,1,350.5,1.0,2.378407723992618e-05,-1.6931085828862114,-4.05266683724584,0.5776102382159148,1.8723999999999998,0.7899848755568584,0.7261055634807418,1.2943512389778855,heavy_long
electricity_load,classification,adam,F6,16,1,275.0,1.0,3.4895771699585314e-05,-1.5955965137138288,-3.8193291916552727,0.8616953877344146,1.8723999999999998,0.7899848755568584,0.9254545454545454,0.8821971357581416,heavy_long
electricity_load,classification,adam,F7,16,1,318.5,1.0,3.277446800928105e-05,-2.024541083029155,-3.862175752871821,0.7186391282311202,1.8723999999999998,0.7899848755568584,0.7990580847723705,0.939296706043452,heavy_long
electricity_load,classification,sgd,F0,16,1,1631.5,1.0,0.0008398896683079241,-1.5911186838869544,-2.587553343639141,0.8874176381145464,1.8723999999999998,0.7899848755568584,1.0,1.0,heavy_long
electricity_load,classification,sgd,F1,16,1,2988.5,0.5,0.001593364782161099,-1.2199291710218776,-2.393153366642025,0.47307399898631525,1.8723999999999998,0.7899848755568584,0.5459260498577881,0.5271170027799736,heavy_long
electricity_load,classification,sgd,F2,16,1,3500.0,0.5,0.001573947122924406,-1.6223264438361518,-2.3117110055576213,0.5825519513431323,1.8723999999999998,0.7899848755568584,0.46614285714285714,0.533620002905436,heavy_long
electricity_load,classification,sgd,F3,16,0,3000.5,1.0,0.0018340307707364239,-1.4433256379006947,-2.411661057390536,0.8882412569690825,1.8723999999999998,0.7899848755568584,0.5437427095484086,0.45794742471560645,heavy_long
electricity_load,classification,sgd,F4,16,1,2101.5,1.0,0.0012268898718392114,-1.6288025310557268,-2.4372862903759835,0.64204257475925,1.8723999999999998,0.7899848755568584,0.7763502260290269,0.6845680998644635,heavy_long
electricity_load,classification,sgd,F5,16,1,3501.0,0.5,0.0015782717072372707,-1.6123548669356742,-2.3103414594790843,0.5746958945767866,1.8723999999999998,0.7899848755568584,0.46600971151099685,0.5321578435807686,heavy_long
electricity_load,classification,sgd,F6,16,1,1752.5,1.0,0.0010014104765816313,-1.4538577469761664,-2.4873947272508503,0.8532691332995439,1.8723999999999998,0.7899848755568584,0.9309557774607703,0.8387066921597753,heavy_long
electricity_load,classification,sgd,F7,16,1,2242.0,1.0,0.0014105822467135255,-1.6576412556793345,-2.421303555006187,0.6889254941713128,1.8723999999999998,0.7899848755568584,0.7276984834968778,0.5954205579041978,heavy_long
electricity_load,regression,adam,F0,16,1,67.5,1.0,0.0012424407912725816,0.021611233302076246,-2.90218882074561,0.13170601975217636,1.8723999999999998,0.7899848755568584,1.0,1.0,heavy_long
electricity_load,regression,adam,F1,16,1,59.5,1.0,0.0003783394540819394,0.22959815423137475,-3.3564676305806684,0.8803498483622396,1.8723999999999998,0.7899848755568584,1.134453781512605,3.2839313422583154,heavy_long
electricity_load,regression,adam,F2,16,1,20.0,1.0,0.0002449292749316233,-0.3108911913155553,-3.6564018562022675,0.6858046149627093,1.8723999999999998,0.7899848755568584,3.375,5.072651244402828,heavy_long
electricity_load,regression,adam,F3,16,0,73.0,1.0,0.0007020165421075101,0.07229592233735611,-3.114567179016358,0.14120849267968147,1.8723999999999998,0.7899848755568584,0.9246575342465754,1.7698169726067627,heavy_long
electricity_load,regression,adam,F4,16,1,70.5,1.0,0.0008861313758574299,-0.1386415018753345,-3.032069023754604,0.8552575308969488,1.8723999999999998,0.7899848755568584,0.9574468085106383,1.402095473789519,heavy_long
electricity_load,regression,adam,F5,16,1,20.0,1.0,0.00024408716016651437,-0.3506372632936453,-3.6614102895586655,0.7303074594217188,1.8723999999999998,0.7899848755568584,3.375,5.090152183445447,heavy_long
electricity_load,regression,adam,F6,16,1,68.5,1.0,0.0011911449941998681,0.012880672583741593,-2.9173057188179454,0.24248896480254425,1.8723999999999998,0.7899848755568584,0.9854014598540146,1.0430642762405014,heavy_long
electricity_load,regression,adam,F7,16,1,71.5,1.0,0.0008318750274265826,-0.13838885503225176,-3.068243452281838,0.6005632535114585,1.8723999999999998,0.7899848755568584,0.9440559440559441,1.4935425999216374,heavy_long
electricity_load,regression,sgd,F0,16,1,106.0,1.0,7.821201580109598e-05,-0.39993115766582527,-3.514513339156547,0.13086096081424942,1.8723999999999998,0.7899848755568584,1.0,1.0,heavy_long
electricity_load,regression,sgd,F1,16,1,135.5,1.0,7.307629527133474e-05,-0.43040583627441253,-3.546382953878121,0.9520380193469204,1.8723999999999998,0.7899848755568584,0.7822878228782287,1.0702788847011486,heavy_long
electricity_load,regression,sgd,F2,16,1,111.5,1.0,6.60669749256778e-05,-0.48442014017801216,-3.941898178910937,0.7464220491802998,1.8723999999999998,0.7899848755568584,0.9506726457399103,1.183829226161494,heavy_long
