ticker,kind,window,seed,acc,majority
EURUSD=X,centered,7,2,0.62,0.62
EURUSD=X,causal,7,0,0.62,0.62
EURUSD=X,causal,7,1,0.62,0.62
EURUSD=X,causal,7,2,0.62,0.62
EURUSD=X,centered,9,0,0.62,0.62
EURUSD=X,centered,9,1,0.62,0.62
EURUSD=X,centered,9,2,0.62,0.62
EURUSD=X,causal,9,0,0.62,0.62
EURUSD=X,causal,9,1,0.62,0.62
EURUSD=X,causal,9,2,0.62,0.62
EURUSD=X,centered,13,0,0.62,0.62
EURUSD=X,centered,13,1,0.62,0.62
EURUSD=X,centered,13,2,0.62,0.62
EURUSD=X,causal,13,0,0.62,0.62
EURUSD=X,causal,13,1,0.62,0.62
EURUSD=X,causal,13,2,0.62,0.62
EURUSD=X,identity,1,0,0.62,0.62
EURUSD=X,identity,1,1,0.63,0.62
EURUSD=X,identity,1,2,0.625,0.62
EURUSD=X,centered,3,0,0.65,0.64
EURUSD=X,centered,3,1,0.64,0.64
EURUSD=X,centered,3,2,0.64,0.64
EURUSD=X,causal,3,0,0.605,0.64
EURUSD=X,causal,3,1,0.62,0.64
EURUSD=X,causal,3,2,0.615,0.64
EURUSD=X,centered,5,0,0.645,0.64
EURUSD=X,centered,5,1,0.655,0.64
EURUSD=X,centered,5,2,0.665,0.64
EURUSD=X,causal,5,0,0.61,0.64
EURUSD=X,causal,5,1,0.615,0.64
EURUSD=X,causal,5,2,0.615,0.64
EURUSD=X,centered,7,0,0.635,0.64
EURUSD=X,centered,7,1,0.64,0.64
EURUSD=X,centered,7,2,0.635,0.64
EURUSD=X,causal,7,0,0.64,0.64
EURUSD=X,causal,7,1,0.64,0.64
EURUSD=X,causal,7,2,0.64,0.64
EURUSD=X,centered,9,0,0.64,0.64
EURUSD=X,centered,9,1,0.64,0.64
EURUSD=X,centered,9,2,0.635,0.64
EURUSD=X,causal,9,0,0.64,0.64
EURUSD=X,causal,9,1,0.64,0.64
EURUSD=X,causal,9,2,0.64,0.64
EURUSD=X,centered,13,0,0.64,0.64
EURUSD=X,centered,13,1,0.64,0.64
EURUSD=X,centered,13,2,0.64,0.64
EURUSD=X,causal,13,0,0.64,0.64
EURUSD=X,causal,13,1,0.64,0.64
EURUSD=X,causal,13,2,0.64,0.64
EURUSD=X,identity,1,0,0.645,0.64
EURUSD=X,identity,1,1,0.635,0.64
EURUSD=X,identity,1,2,0.65,0.64
EURUSD=X,centered,3,0,0.665,0.665
EURUSD=X,centered,3,1,0.665,0.665
EURUSD=X,centered,3,2,0.665,0.665
EURUSD=X,causal,3,0,0.655,0.665
EURUSD=X,causal,3,1,0.665,0.665
EURUSD=X,causal,3,2,0.655,0.665
EURUSD=X,centered,5,0,0.665,0.665
EURUSD=X,centered,5,1,0.665,0.665
EURUSD=X,centered,5,2,0.665,0.665
EURUSD=X,causal,5,0,0.665,0.665
EURUSD=X,causal,5,1,0.665,0.665
EURUSD=X,causal,5,2,0.665,0.665
EURUSD=X,centered,7,0,0.665,0.665
EURUSD=X,centered,7,1,0.665,0.665
EURUSD=X,centered,7,2,0.665,0.665
EURUSD=X,causal,7,0,0.665,0.665
EURUSD=X,causal,7,1,0.665,0.665
EURUSD=X,causal,7,2,0.665,0.665
EURUSD=X,centered,9,0,0.665,0.665
EURUSD=X,centered,9,1,0.665,0.665
EURUSD=X,centered,9,2,0.665,0.665
EURUSD=X,causal,9,0,0.665,0.665
EURUSD=X,causal,9,1,0.665,0.665
EURUSD=X,causal,9,2,0.665,0.665
EURUSD=X,centered,13,0,0.665,0.665
EURUSD=X,centered,13,1,0.665,0.665
EURUSD=X,centered,13,2,0.665,0.665
EURUSD=X,causal,13,0,0.665,0.665
EURUSD=X,causal,13,1,0.665,0.665
EURUSD=X,causal,13,2,0.665,0.665
EURUSD=X,identity,1,0,0.665,0.665
EURUSD=X,identity,1,1,0.665,0.665
EURUSD=X,identity,1,2,0.665,0.665
EURUSD=X,centered,3,0,0.65,0.65
EURUSD=X,centered,3,1,0.65,0.65
EURUSD=X,centered,3,2,0.645,0.65
EURUSD=X,causal,3,0,0.65,0.65
EURUSD=X,causal,3,1,0.65,0.65
EURUSD=X,causal,3,2,0.65,0.65
EURUSD=X,centered,5,0,0.645,0.65
EURUSD=X,centered,5,1,0.645,0.65
EURUSD=X,centered,5,2,0.645,0.65
EURUSD=X,causal,5,0,0.65,0.65
EURUSD=X,causal,5,1,0.65,0.65
EURUSD=X,causal,5,2,0.65,0.65
EURUSD=X,centered,7,0,0.65,0.65
EURUSD=X,centered,7,1,0.65,0.65
EURUSD=X,centered,7,2,0.65,0.65
EURUSD=X,causal,7,0,0.65,0.65
EURUSD=X,causal,7,1,0.65,0.65
EURUSD=X,causal,7,2,0.65,0.65
EURUSD=X,centered,9,0,0.65,0.65
EURUSD=X,centered,9,1,0.65,0.65
EURUSD=X,centered,9,2,0.65,0.65
EURUSD=X,causal,9,0,0.65,0.65
EURUSD=X,causal,9,1,0.65,0.65
EURUSD=X,causal,9,2,0.65,0.65
EURUSD=X,centered,13,0,0.65,0.65
EURUSD=X,centered,13,1,0.65,0.65
EURUSD=X,centered,13,2,0.65,0.65
EURUSD=X,causal,13,0,0.65,0.65
EURUSD=X,causal,13,1,0.65,0.65
EURUSD=X,causal,13,2,0.65,0.65
EURUSD=X,identity,1,0,0.65,0.65
EURUSD=X,identity,1,1,0.65,0.65
EURUSD=X,identity,1,2,0.645,0.65
GBPUSD=X,centered,3,0,0.6,0.595
GBPUSD=X,centered,3,1,0.6,0.595
GBPUSD=X,centered,3,2,0.6,0.595
GBPUSD=X,causal,3,0,0.59,0.595
GBPUSD=X,causal,3,1,0.59,0.595
GBPUSD=X,causal,3,2,0.59,0.595
GBPUSD=X,centered,5,0,0.59,0.595
GBPUSD=X,centered,5,1,0.59,0.595
GBPUSD=X,centered,5,2,0.59,0.595
GBPUSD=X,causal,5,0,0.59,0.595
GBPUSD=X,causal,5,1,0.59,0.595
GBPUSD=X,causal,5,2,0.585,0.595
GBPUSD=X,centered,7,0,0.595,0.595
GBPUSD=X,centered,7,1,0.595,0.595
GBPUSD=X,centered,7,2,0.595,0.595
GBPUSD=X,causal,7,0,0.595,0.595
GBPUSD=X,causal,7,1,0.595,0.595
GBPUSD=X,causal,7,2,0.595,0.595
GBPUSD=X,centered,9,0,0.595,0.595
GBPUSD=X,centered,9,1,0.595,0.595
GBPUSD=X,centered,9,2,0.595,0.595
GBPUSD=X,causal,9,0,0.595,0.595
GBPUSD=X,causal,9,1,0.595,0.595
GBPUSD=X,causal,9,2,0.595,0.595
GBPUSD=X,centered,13,0,0.595,0.595
GBPUSD=X,centered,13,1,0.595,0.595
GBPUSD=X,centered,13,2,0.595,0.595
GBPUSD=X,causal,13,0,0.595,0.595
GBPUSD=X,causal,13,1,0.595,0.595
GBPUSD=X,causal,13,2,0.595,0.595
GBPUSD=X,identity,1,0,0.595,0.595
GBPUSD=X,identity,1,1,0.6,0.595
GBPUSD=X,identity,1,2,0.595,0.595
GBPUSD=X,centered,3,0,0.68,0.6699999999999999
GBPUSD=X,centered,3,1,0.675,0.6699999999999999
GBPUSD=X,centered,3,2,0.675,0.6699999999999999
GBPUSD=X,causal,3,0,0.625,0.6699999999999999
GBPUSD=X,causal,3,1,0.625,0.6699999999999999
GBPUSD=X,causal,3,2,0.625,0.6699999999999999
GBPUSD=X,centered,5,0,0.67,0.6699999999999999
GBPUSD=X,centered,5,1,0.68,0.6699999999999999
GBPUSD=X,centered,5,2,0.68,0.6699999999999999
GBPUSD=X,causal,5,0,0.645,0.6699999999999999
GBPUSD=X,causal,5,1,0.64,0.6699999999999999
GBPUSD=X,causal,5,2,0.64,0.6699999999999999
GBPUSD=X,centered,7,0,0.67,0.6699999999999999
GBPUSD=X,centered,7,1,0.665,0.6699999999999999
GBPUSD=X,centered,7,2,0.665,0.6699999999999999
GBPUSD=X,causal,7,0,0.68,0.6699999999999999
GBPUSD=X,causal,7,1,0.675,0.6699999999999999
GBPUSD=X,causal,7,2,0.675,0.6699999999999999
GBPUSD=X,centered,9,0,0.67,0.6699999999999999
GBPUSD=X,centered,9,1,0.675,0.6699999999999999
GBPUSD=X,centered,9,2,0.67,0.6699999999999999
GBPUSD=X,causal,9,0,0.665,0.6699999999999999
GBPUSD=X,causal,9,1,0.665,0.6699999999999999
GBPUSD=X,causal,9,2,0.665,0.6699999999999999
GBPUSD=X,centered,13,0,0.67,0.6699999999999999
GBPUSD=X,centered,13,1,0.67,0.6699999999999999
GBPUSD=X,centered,13,2,0.67,0.6699999999999999
GBPUSD=X,causal,13,0,0.67,0.6699999999999999
GBPUSD=X,causal,13,1,0.67,0.6699999999999999
GBPUSD=X,causal,13,2,0.67,0.6699999999999999
GBPUSD=X,identity,1,0,0.665,0.6699999999999999
GBPUSD=X,identity,1,1,0.665,0.6699999999999999
GBPUSD=X,identity,1,2,0.65,0.6699999999999999
GBPUSD=X,centered,3,0,0.61,0.61
GBPUSD=X,centered,3,1,0.61,0.61
GBPUSD=X,centered,3,2,0.61,0.61
GBPUSD=X,causal,3,0,0.61,0.61
GBPUSD=X,causal,3,1,0.61,0.61
GBPUSD=X,causal,3,2,0.61,0.61
GBPUSD=X,centered,5,0,0.61,0.61
GBPUSD=X,centered,5,1,0.61,0.61
GBPUSD=X,centered,5,2,0.61,0.61
GBPUSD=X,causal,5,0,0.61,0.61
GBPUSD=X,causal,5,1,0.61,0.61
GBPUSD=X,causal,5,2,0.61,0.61
GBPUSD=X,centered,7,0,0.61,0.61
GBPUSD=X,centered,7,1,0.61,0.61
