ticker,filter,optimizer,seed,steps,final_grad_norm_sq,final_train_loss,holdout_mse_smoothed,holdout_mse_raw,loglik_raw,snr_filter_db,hurst_raw,hurst_smoothed,alpha_raw,alpha_smoothed,elapsed_s
MSFT,F3,sgd,4,1500,6.426851245330521e-10,2.3171320629137382e-05,2.5649635417725137e-06,0.00012849715856111542,2681.561271027874,-10.28540888196138,0.45851108473913077,1.0209428992216054,1.0898425354864638,1.3902492091132108,0.08034339900041232
MSFT,F3,adam,0,1500,1.647545776885209e-41,1.4787681852679625e-05,1.8878489536065319e-06,0.00020528807121507721,2476.1328663771847,-10.28540888196138,0.45851108473913077,1.0209428992216054,1.0898425354864638,1.3902492091132108,0.0898463530029403
MSFT,F3,adam,1,1500,5.055054950662854e-41,1.4787681852679627e-05,1.8878489536065319e-06,0.0002052880712150773,2476.132866377184,-10.28540888196138,0.45851108473913077,1.0209428992216054,1.0898425354864638,1.3902492091132108,0.17891622400202323
MSFT,F3,adam,2,1500,6.678279685484794e-41,1.4787681852679627e-05,1.887848953606532e-06,0.0002052880712150773,2476.132866377184,-10.28540888196138,0.45851108473913077,1.0209428992216054,1.0898425354864638,1.3902492091132108,0.09114409599715145
MSFT,F3,adam,3,1500,1.1474567184339397e-41,1.4787681852679627e-05,1.8878489536065319e-06,0.00020528807121507724,2476.132866377184,-10.28540888196138,0.45851108473913077,1.0209428992216054,1.0898425354864638,1.3902492091132108,0.09103682600107277
MSFT,F3,adam,4,1500,5.31083004068771e-41,1.4787681852679625e-05,1.8878489536065315e-06,0.0002052880712150772,2476.1328663771847,-10.28540888196138,0.45851108473913077,1.0209428992216054,1.0898425354864638,1.3902492091132108,0.17873189399688272
MSFT,F3,adamw,0,1500,9.72881785778526e-21,1.4787681852848034e-05,1.887848833764115e-06,0.0002052873365726612,2476.1344346314318,-10.28540888196138,0.45851108473913077,1.0209428992216054,1.0898425354864638,1.3902492091132108,0.09376555299968459
MSFT,F3,adamw,1,1500,1.0320728610889525e-20,1.4787681852857956e-05,1.8878487441223424e-06,0.00020528732009052463,2476.1344695454236,-10.28540888196138,0.45851108473913077,1.0209428992216054,1.0898425354864638,1.3902492091132108,0.18010315699939383
MSFT,F3,adamw,2,1500,1.0906852503219402e-20,1.4787681852868976e-05,1.8878487602297397e-06,0.00020528729523884996,2476.1345226592944,-10.28540888196138,0.45851108473913077,1.0209428992216054,1.0898425354864638,1.3902492091132108,0.1769655989992316
MSFT,F3,adamw,3,1500,1.0149045313184059e-20,1.4787681852859045e-05,1.8878489642681794e-06,0.00020528730435051196,2476.1345038341333,-10.28540888196138,0.45851108473913077,1.0209428992216054,1.0898425354864638,1.3902492091132108,0.1773114509996958
MSFT,F3,adamw,4,1500,9.210634173551194e-21,1.4787681852838625e-05,1.8878488669138602e-06,0.00020528735617080058,2476.134392885808,-10.28540888196138,0.45851108473913077,1.0209428992216054,1.0898425354864638,1.3902492091132108,0.1822612329997355
MSFT,F4,sgd,0,1500,9.615462113444064e-10,2.421088417393234e-05,1.1823801572495132e-05,0.0001286631094703453,2680.9883228459507,-10.153658830317948,0.45851108473913077,0.6749118193238364,1.0898425354864638,0.593,0.1568685789970914
MSFT,F4,sgd,1,1500,9.460606691318678e-10,2.400805411242859e-05,1.1734319461648615e-05,0.00012901500765960945,2679.776528966069,-10.153658830317948,0.45851108473913077,0.6749118193238364,1.0898425354864638,0.593,0.15515253500052495
MSFT,F4,sgd,2,1500,9.940102621755552e-10,2.404407121785293e-05,1.1780078118208087e-05,0.00012928079194951848,2678.9112680580984,-10.153658830317948,0.45851108473913077,0.6749118193238364,1.0898425354864638,0.593,0.07957963700027904
MSFT,F4,sgd,3,1500,1.0106291732791676e-09,2.439643850855346e-05,1.1936891988499072e-05,0.00012888246533941447,2680.2611302519035,-10.153658830317948,0.45851108473913077,0.6749118193238364,1.0898425354864638,0.593,0.08251125499373302
MSFT,F4,sgd,4,1500,9.65730338180089e-10,2.4345641283357513e-05,1.1889936398010988e-05,0.00012850409932677956,2681.5361462549818,-10.153658830317948,0.45851108473913077,0.6749118193238364,1.0898425354864638,0.593,0.07927307699719677
MSFT,F4,adam,0,1500,4.0762933500359237e-41,1.6543671756704838e-05,7.008796733996995e-06,0.00019012253414957023,2509.3343104813007,-10.153658830317948,0.45851108473913077,0.6749118193238364,1.0898425354864638,0.593,0.09055832400190411
MSFT,F4,adam,1,1500,4.0762933500359237e-41,1.6543671756704838e-05,7.008796733996995e-06,0.00019012253414957023,2509.3343104813007,-10.153658830317948,0.45851108473913077,0.6749118193238364,1.0898425354864638,0.593,0.17777775099966675
MSFT,F4,adam,2,1500,4.105294700710897e-41,1.6543671756704838e-05,7.008796733996995e-06,0.00019012253414957023,2509.3343104813007,-10.153658830317948,0.45851108473913077,0.6749118193238364,1.0898425354864638,0.593,0.09150358700571815
MSFT,F4,adam,3,1500,4.105294700710897e-41,1.6543671756704838e-05,7.008796733996995e-06,0.00019012253414957023,2509.3343104813007,-10.153658830317948,0.45851108473913077,0.6749118193238364,1.0898425354864638,0.593,0.084987160997116
MSFT,F4,adam,4,1500,4.0762933500359237e-41,1.6543671756704838e-05,7.008796733996995e-06,0.00019012253414957023,2509.3343104813007,-10.153658830317948,0.45851108473913077,0.6749118193238364,1.0898425354864638,0.593,0.09090721599932294
MSFT,F4,adamw,0,1500,1.0416554176698576e-20,1.6543671756878023e-05,7.008799756414793e-06,0.0001901218384478784,2509.3359143135494,-10.153658830317948,0.45851108473913077,0.6749118193238364,1.0898425354864638,0.593,0.18110184900433524
MSFT,F4,adamw,1,1500,9.856950267005116e-21,1.6543671756869393e-05,7.0087996550680284e-06,0.00019012185530327912,2509.335875453549,-10.153658830317948,0.45851108473913077,0.6749118193238364,1.0898425354864638,0.593,0.18057336799392942
MSFT,F4,adamw,2,1500,9.665306831067892e-21,1.6543671756867177e-05,7.008799589494717e-06,0.00019012185819836794,2509.3358687760297,-10.153658830317948,0.45851108473913077,0.6749118193238364,1.0898425354864638,0.593,0.08903260099759791
MSFT,F4,adamw,3,1500,1.058821651642096e-20,1.6543671756881756e-05,7.008799749464001e-06,0.0001901218292224697,2509.335935578617,-10.153658830317948,0.45851108473913077,0.6749118193238364,1.0898425354864638,0.593,0.18622809200314805
MSFT,F4,adamw,4,1500,1.0910412408761292e-20,1.654367175688495e-05,7.008799864370217e-06,0.00019012182712486672,2509.335940421097,-10.153658830317948,0.45851108473913077,0.6749118193238364,1.0898425354864638,0.593,0.1822360820005997
QQQ,F0,sgd,0,1500,2.269660736751369e-09,0.00017946429495816467,0.00011066067296360907,0.00011066067296360907,2747.643050719472,inf,0.4877615088452178,0.4877615088452178,1.0654624126666938,1.0654624126666938,0.15205295800114982
QQQ,F0,sgd,1,1500,2.7593994805017797e-09,0.00018007166278057445,0.00011100837242086432,0.00011100837242086432,2746.2402624386623,inf,0.4877615088452178,0.4877615088452178,1.0654624126666938,1.0654624126666938,0.15222594799706712
