ticker,filter,optimizer,seed,train_size,test_size,train_mse,holdout_mse_raw,holdout_loglik_raw,snr_filter_db,hurst_train_raw,hurst_train_smoothed,alpha_train_raw,alpha_train_smoothed
QQQ,F3,sgd,2,1000,200,3.2424636335364155e-05,0.00014397104218861266,601.1149427357058,-6.284452001051394,0.5305666406944348,0.9928480689616147,1.021581561674994,1.2760189702492297
QQQ,F3,adam,0,1000,200,1.787205944240542e-05,0.00027847082786147887,534.4465905150698,-6.284452001051394,0.5305666406944348,0.9928480689616147,1.021581561674994,1.2760189702492297
QQQ,F3,adam,1,1000,200,1.7872059442405423e-05,0.00027847082786147887,534.4465905150698,-6.284452001051394,0.5305666406944348,0.9928480689616147,1.021581561674994,1.2760189702492297
QQQ,F3,adam,2,1000,200,1.787205944240542e-05,0.000278470827861479,534.4465905150698,-6.284452001051394,0.5305666406944348,0.9928480689616147,1.021581561674994,1.2760189702492297
QQQ,F3,adamw,0,1000,200,1.7872059442800882e-05,0.00027846924255004406,534.4471613987738,-6.284452001051394,0.5305666406944348,0.9928480689616147,1.021581561674994,1.2760189702492297
QQQ,F3,adamw,1,1000,200,1.787205944281716e-05,0.0002784692232196672,534.4471681644781,-6.284452001051394,0.5305666406944348,0.9928480689616147,1.021581561674994,1.2760189702492297
QQQ,F3,adamw,2,1000,200,1.7872059442841617e-05,0.00027846917432974524,534.4471857919353,-6.284452001051394,0.5305666406944348,0.9928480689616147,1.021581561674994,1.2760189702492297
QQQ,F4,sgd,0,1000,200,2.0683179927568818e-05,0.0001429077911899871,601.8356411885767,-9.72823999232474,0.5305666406944348,0.7548796485633871,1.021581561674994,0.7303477975267831
QQQ,F4,sgd,1,1000,200,2.0490726685280068e-05,0.00014357069677351742,601.3512480783428,-9.72823999232474,0.5305666406944348,0.7548796485633871,1.021581561674994,0.7303477975267831
QQQ,F4,sgd,2,1000,200,2.056059615050139e-05,0.00014399546132050578,601.0961790034581,-9.72823999232474,0.5305666406944348,0.7548796485633871,1.021581561674994,0.7303477975267831
QQQ,F4,adam,0,1000,200,1.3920903431453176e-05,0.00023251583110257931,552.4340601384513,-9.72823999232474,0.5305666406944348,0.7548796485633871,1.021581561674994,0.7303477975267831
QQQ,F4,adam,1,1000,200,1.3920903431453176e-05,0.00023251583110257931,552.4340601384513,-9.72823999232474,0.5305666406944348,0.7548796485633871,1.021581561674994,0.7303477975267831
QQQ,F4,adam,2,1000,200,1.3920903431453176e-05,0.00023251583110257931,552.4340601384513,-9.72823999232474,0.5305666406944348,0.7548796485633871,1.021581561674994,0.7303477975267831
QQQ,F4,adamw,0,1000,200,1.392090343161628e-05,0.0002325147883566317,552.434509523885,-9.72823999232474,0.5305666406944348,0.7548796485633871,1.021581561674994,0.7303477975267831
QQQ,F4,adamw,1,1000,200,1.3920903431608246e-05,0.00023251481202960902,552.4344993189642,-9.72823999232474,0.5305666406944348,0.7548796485633871,1.021581561674994,0.7303477975267831
QQQ,F4,adamw,2,1000,200,1.3920903431607216e-05,0.00023251480872859678,552.4345007360236,-9.72823999232474,0.5305666406944348,0.7548796485633871,1.021581561674994,0.7303477975267831
QQQ,F6,sgd,0,1000,200,3.903970409188133e-06,0.000142902612400092,601.8399941164145,-17.390106188265456,0.5305666406944348,1.5510672601066904,1.021581561674994,1.3268623447683279
QQQ,F6,sgd,1,1000,200,3.873890171105394e-06,0.00014356489022759108,601.3560011601987,-17.390106188265456,0.5305666406944348,1.5510672601066904,1.021581561674994,1.3268623447683279
QQQ,F6,sgd,2,1000,200,4.019226220987842e-06,0.00014398916024503967,601.1013449144009,-17.390106188265456,0.5305666406944348,1.5510672601066904,1.021581561674994,1.3268623447683279
QQQ,F6,adam,0,1000,200,7.39790689317046e-07,0.0003516069108122018,511.02751125833885,-17.390106188265456,0.5305666406944348,1.5510672601066904,1.021581561674994,1.3268623447683279
QQQ,F6,adam,1,1000,200,7.397906893170459e-07,0.0003516069108122018,511.02751125833885,-17.390106188265456,0.5305666406944348,1.5510672601066904,1.021581561674994,1.3268623447683279
QQQ,F6,adam,2,1000,200,7.39790689317046e-07,0.00035160691081220183,511.02751125833885,-17.390106188265456,0.5305666406944348,1.5510672601066904,1.021581561674994,1.3268623447683279
QQQ,F6,adamw,0,1000,200,7.397906897604939e-07,0.0003515976820239172,511.0301356047412,-17.390106188265456,0.5305666406944348,1.5510672601066904,1.021581561674994,1.3268623447683279
