stage1_mcnemar_p,rate_gain,hit_F0,hit_Fk,n_both,speedup_both,t_stat,p_cond,cohen_d,block,model,noise,optimizer,filter
7.888609052210118e-31,1.0,0.0,1.0,0,,,,,A,quadratic,N3,sgd,F4
7.888609052210118e-31,1.0,0.0,1.0,0,,,,,A,quadratic,N3,sgd,F5
1.0,0.0,0.0,0.0,0,,,,,A,quadratic,N4,clipped_sgd,F1
1.0,0.0,0.0,0.0,0,,,,,A,quadratic,N4,clipped_sgd,F2
1.0,0.0,0.0,0.0,0,,,,,A,quadratic,N4,clipped_sgd,F3
1.0,0.0,0.0,0.0,0,,,,,A,quadratic,N4,clipped_sgd,F4
1.0,0.0,0.0,0.0,0,,,,,A,quadratic,N4,clipped_sgd,F5
1.0,0.0,0.0,0.0,0,,,,,A,quadratic,N4,normalized_sgd,F1
1.0,0.0,0.0,0.0,0,,,,,A,quadratic,N4,normalized_sgd,F2
1.0,0.0,0.0,0.0,0,,,,,A,quadratic,N4,normalized_sgd,F3
1.0,0.0,0.0,0.0,0,,,,,A,quadratic,N4,normalized_sgd,F4
1.0,0.0,0.0,0.0,0,,,,,A,quadratic,N4,normalized_sgd,F5
1.0,0.0,0.0,0.0,0,,,,,A,quadratic,N4,sgd,F1
1.0,0.0,0.0,0.0,0,,,,,A,quadratic,N4,sgd,F2
1.0,0.0,0.0,0.0,0,,,,,A,quadratic,N4,sgd,F3
1.0,0.0,0.0,0.0,0,,,,,A,quadratic,N4,sgd,F4
1.0,0.0,0.0,0.0,0,,,,,A,quadratic,N4,sgd,F5
0.21749640256107672,0.06999999999999995,0.52,0.59,26,0.6867947026235618,-1.2133604752950111,0.8818340180339037,-0.2379595669442876,B,ar,N2,adam,F1
1.2452015312192087e-05,0.29000000000000004,0.52,0.81,43,1.1825311934071019,0.8706136045807983,0.19445712350438527,0.13276733001068736,B,ar,N2,adam,F2
7.5486004789127045e-06,0.28,0.52,0.8,45,1.402205617447078,1.4376980110303146,0.07879707896639815,0.21431936558533504,B,ar,N2,adam,F3
0.4999999999999998,0.010000000000000009,0.52,0.53,25,0.7496415891533358,-1.461986254922987,0.9216416442381948,-0.2923972509845974,B,ar,N2,adam,F4
0.005675795718389054,0.17999999999999994,0.52,0.7,38,0.8827235489995979,-0.6039828228374694,0.7252296800276117,-0.09797895185926388,B,ar,N2,adam,F5
0.21749640256107672,0.06999999999999995,0.52,0.59,26,0.6867947026235618,-1.2133604752950111,0.8818340180339037,-0.2379595669442876,B,ar,N2,adamw,F1
1.2452015312192087e-05,0.29000000000000004,0.52,0.81,43,1.1825311934071019,0.8706136045807983,0.19445712350438527,0.13276733001068736,B,ar,N2,adamw,F2
7.5486004789127045e-06,0.28,0.52,0.8,45,1.4117357626917533,1.4682186164300393,0.07457895616156963,0.21886910881121713,B,ar,N2,adamw,F3
0.4999999999999998,0.010000000000000009,0.52,0.53,25,0.7496415891533358,-1.461986254922987,0.9216416442381948,-0.2923972509845974,B,ar,N2,adamw,F4
0.005675795718389054,0.17999999999999994,0.52,0.7,38,0.8827235489995979,-0.6039828228374694,0.7252296800276117,-0.09797895185926388,B,ar,N2,adamw,F5
1.0,0.0,0.0,0.0,0,,,,,B,ar,N4,adam,F1
1.0,0.0,0.0,0.0,0,,,,,B,ar,N4,adam,F2
1.0,0.0,0.0,0.0,0,,,,,B,ar,N4,adam,F3
1.0,0.0,0.0,0.0,0,,,,,B,ar,N4,adam,F4
1.0,0.0,0.0,0.0,0,,,,,B,ar,N4,adam,F5
1.0,0.0,0.0,0.0,0,,,,,B,ar,N4,adamw,F1
1.0,0.0,0.0,0.0,0,,,,,B,ar,N4,adamw,F2
