train,test,filter,optimizer,seed,test_acc,majority
ETH-USD,JPM,F4,adam,2,0.5291695264241593,0.6376115305422101
ETH-USD,JPM,F7,adam,0,0.49656829100892247,0.6376115305422101
ETH-USD,JPM,F7,adam,1,0.4814687714481812,0.6376115305422101
ETH-USD,JPM,F7,adam,2,0.4917638984214139,0.6376115305422101
ETH-USD,JPM,F8,adam,0,0.49656829100892247,0.6376115305422101
ETH-USD,JPM,F8,adam,1,0.4814687714481812,0.6376115305422101
ETH-USD,JPM,F8,adam,2,0.4917638984214139,0.6376115305422101
ETH-USD,JPM,F9,adam,0,0.49588194921070694,0.6376115305422101
ETH-USD,JPM,F9,adam,1,0.4917638984214139,0.6376115305422101
ETH-USD,JPM,F9,adam,2,0.4955387783115992,0.6376115305422101
ETH-USD,MSFT,F0,adam,0,0.6310912834591627,0.6283459162663005
ETH-USD,MSFT,F0,adam,1,0.3768016472203157,0.6283459162663005
ETH-USD,MSFT,F0,adam,2,0.38984214138641043,0.6283459162663005
ETH-USD,MSFT,F4,adam,0,0.4735758407687028,0.6283459162663005
ETH-USD,MSFT,F4,adam,1,0.4464653397391901,0.6283459162663005
ETH-USD,MSFT,F4,adam,2,0.51681537405628,0.6283459162663005
ETH-USD,MSFT,F7,adam,0,0.4698009608785175,0.6283459162663005
ETH-USD,MSFT,F7,adam,1,0.4608785175017159,0.6283459162663005
ETH-USD,MSFT,F7,adam,2,0.46945778997940973,0.6283459162663005
ETH-USD,MSFT,F8,adam,0,0.4698009608785175,0.6283459162663005
ETH-USD,MSFT,F8,adam,1,0.4608785175017159,0.6283459162663005
ETH-USD,MSFT,F8,adam,2,0.46945778997940973,0.6283459162663005
ETH-USD,MSFT,F9,adam,0,0.4735758407687028,0.6283459162663005
ETH-USD,MSFT,F9,adam,1,0.46465339739190115,0.6283459162663005
ETH-USD,MSFT,F9,adam,2,0.4728894989704873,0.6283459162663005
ETH-USD,QQQ,F0,adam,0,0.6146190803019904,0.6125600549073438
ETH-USD,QQQ,F0,adam,1,0.39121482498284144,0.6125600549073438
ETH-USD,QQQ,F0,adam,2,0.40494166094715167,0.6125600549073438
ETH-USD,QQQ,F4,adam,0,0.4962251201098147,0.6125600549073438
ETH-USD,QQQ,F4,adam,1,0.4698009608785175,0.6125600549073438
ETH-USD,QQQ,F4,adam,2,0.5284831846259437,0.6125600549073438
ETH-USD,QQQ,F7,adam,0,0.4852436513383665,0.6125600549073438
ETH-USD,QQQ,F7,adam,1,0.4787234042553192,0.6125600549073438
ETH-USD,QQQ,F7,adam,2,0.4835277968428277,0.6125600549073438
ETH-USD,QQQ,F8,adam,0,0.4852436513383665,0.6125600549073438
ETH-USD,QQQ,F8,adam,1,0.4787234042553192,0.6125600549073438
ETH-USD,QQQ,F8,adam,2,0.4835277968428277,0.6125600549073438
ETH-USD,QQQ,F9,adam,0,0.48798901853122856,0.6125600549073438
ETH-USD,QQQ,F9,adam,1,0.4835277968428277,0.6125600549073438
ETH-USD,QQQ,F9,adam,2,0.4900480439258751,0.6125600549073438
ETH-USD,SPY,F0,adam,0,0.6204529855868223,0.6187371310912835
ETH-USD,SPY,F0,adam,1,0.3829787234042553,0.6187371310912835
ETH-USD,SPY,F0,adam,2,0.39327385037748797,0.6187371310912835
