window,filter,noise,seed,delta_snr_db
15,F1 MA,N1 Gauss,7,10.900784534383707
15,F4 Median,N1 Gauss,7,9.625474805106286
15,F7 Hybrid (med w),N1 Gauss,7,11.985578249068052
15,F1 MA,N1 Gauss,8,11.359448247521685
15,F4 Median,N1 Gauss,8,10.036909774309063
15,F7 Hybrid (med w),N1 Gauss,8,12.40633637219961
15,F1 MA,N1 Gauss,9,12.110992920129501
15,F4 Median,N1 Gauss,9,10.446687001071107
15,F7 Hybrid (med w),N1 Gauss,9,12.497345860001342
15,F1 MA,N3 α-stable,0,11.353123456420107
15,F4 Median,N3 α-stable,0,16.422446287327062
15,F7 Hybrid (med w),N3 α-stable,0,18.80661708751016
15,F1 MA,N3 α-stable,1,11.819436159055147
15,F4 Median,N3 α-stable,1,13.533107266409361
15,F7 Hybrid (med w),N3 α-stable,1,15.915177641104332
15,F1 MA,N3 α-stable,2,11.706511208979585
15,F4 Median,N3 α-stable,2,22.844431979615234
15,F7 Hybrid (med w),N3 α-stable,2,25.315369451538587
15,F1 MA,N3 α-stable,3,11.769362141431253
15,F4 Median,N3 α-stable,3,16.50410655158185
15,F7 Hybrid (med w),N3 α-stable,3,18.591579815942236
15,F1 MA,N3 α-stable,4,11.615144835886525
15,F4 Median,N3 α-stable,4,15.536909487732801
15,F7 Hybrid (med w),N3 α-stable,4,17.491666070169195
15,F1 MA,N3 α-stable,5,11.721241124209048
15,F4 Median,N3 α-stable,5,13.743823037973362
15,F7 Hybrid (med w),N3 α-stable,5,15.813576319734555
15,F1 MA,N3 α-stable,6,11.71458677679798
15,F4 Median,N3 α-stable,6,15.535011102059261
15,F7 Hybrid (med w),N3 α-stable,6,17.777396997822628
15,F1 MA,N3 α-stable,7,11.810579463193418
15,F4 Median,N3 α-stable,7,13.9861851635197
15,F7 Hybrid (med w),N3 α-stable,7,16.117537921834206
15,F1 MA,N3 α-stable,8,11.326937182243626
15,F4 Median,N3 α-stable,8,18.734312571933835
15,F7 Hybrid (med w),N3 α-stable,8,20.77525271906172
15,F1 MA,N3 α-stable,9,11.687323513548808
15,F4 Median,N3 α-stable,9,17.96946733417752
15,F7 Hybrid (med w),N3 α-stable,9,20.151785804142534
15,F1 MA,N4 Mixed,0,6.354571830046325
15,F4 Median,N4 Mixed,0,8.551314535176896
15,F7 Hybrid (med w),N4 Mixed,0,9.408286232386958
15,F1 MA,N4 Mixed,1,6.696521832026205
15,F4 Median,N4 Mixed,1,7.540479356236284
15,F7 Hybrid (med w),N4 Mixed,1,8.667474905335501
15,F1 MA,N4 Mixed,2,6.5004704161457845
15,F4 Median,N4 Mixed,2,11.55098140379917
15,F7 Hybrid (med w),N4 Mixed,2,11.73721543769733
15,F1 MA,N4 Mixed,3,6.5803197970222485
15,F4 Median,N4 Mixed,3,10.076405700897833
15,F7 Hybrid (med w),N4 Mixed,3,10.761150495239477
15,F1 MA,N4 Mixed,4,6.7548944522340975
15,F4 Median,N4 Mixed,4,10.759209852016157
15,F7 Hybrid (med w),N4 Mixed,4,11.486650900724289
15,F1 MA,N4 Mixed,5,6.4684231322456895
15,F4 Median,N4 Mixed,5,8.159947292770026
15,F7 Hybrid (med w),N4 Mixed,5,9.076461346879707
15,F1 MA,N4 Mixed,6,6.1513655310023925
15,F4 Median,N4 Mixed,6,8.57744905753686
15,F7 Hybrid (med w),N4 Mixed,6,9.491706734714128
15,F1 MA,N4 Mixed,7,6.231420034727456
15,F4 Median,N4 Mixed,7,8.425255872495008
15,F7 Hybrid (med w),N4 Mixed,7,9.083069142818086
15,F1 MA,N4 Mixed,8,5.799926566229232
15,F4 Median,N4 Mixed,8,9.429320064987888
15,F7 Hybrid (med w),N4 Mixed,8,9.821945633605567
15,F1 MA,N4 Mixed,9,6.967025299720886
15,F4 Median,N4 Mixed,9,8.751313757311332
15,F7 Hybrid (med w),N4 Mixed,9,9.588351765119045
21,F1 MA,N1 Gauss,0,11.592403817555402
21,F4 Median,N1 Gauss,0,11.313277513435084
21,F7 Hybrid (med w),N1 Gauss,0,12.788062138273002
21,F1 MA,N1 Gauss,1,12.380434579567403
21,F4 Median,N1 Gauss,1,11.157674707866027
21,F7 Hybrid (med w),N1 Gauss,1,12.52217731992002
21,F1 MA,N1 Gauss,2,12.231182765034625
21,F4 Median,N1 Gauss,2,11.40051385784812
21,F7 Hybrid (med w),N1 Gauss,2,13.05847324054609
21,F1 MA,N1 Gauss,3,11.748130398993364
21,F4 Median,N1 Gauss,3,11.227570137036905
21,F7 Hybrid (med w),N1 Gauss,3,13.015058310133082
21,F1 MA,N1 Gauss,4,12.018965201986518
21,F4 Median,N1 Gauss,4,11.45943772821797
21,F7 Hybrid (med w),N1 Gauss,4,12.856066506791954
21,F1 MA,N1 Gauss,5,11.958069789953392
21,F4 Median,N1 Gauss,5,11.268899969123813
21,F7 Hybrid (med w),N1 Gauss,5,12.794979934147012
21,F1 MA,N1 Gauss,6,11.765478846314753
21,F4 Median,N1 Gauss,6,11.447999626779358
21,F7 Hybrid (med w),N1 Gauss,6,12.966326401080494
21,F1 MA,N1 Gauss,7,11.638126241810138
21,F4 Median,N1 Gauss,7,10.888713547565716
21,F7 Hybrid (med w),N1 Gauss,7,12.337669269364687
21,F1 MA,N1 Gauss,8,12.158974888260063
21,F4 Median,N1 Gauss,8,11.597942645589946
21,F7 Hybrid (med w),N1 Gauss,8,13.272472210863626
21,F1 MA,N1 Gauss,9,12.957496058750811
21,F4 Median,N1 Gauss,9,11.82613099151053
21,F7 Hybrid (med w),N1 Gauss,9,13.316083074986071
21,F1 MA,N3 α-stable,0,12.654163422592898
21,F4 Median,N3 α-stable,0,17.85673996950088
21,F7 Hybrid (med w),N3 α-stable,0,19.4628874684617
21,F1 MA,N3 α-stable,1,13.134359173653177
21,F4 Median,N3 α-stable,1,15.282211419008924
21,F7 Hybrid (med w),N3 α-stable,1,16.881390781885575
21,F1 MA,N3 α-stable,2,13.119869885213461
21,F4 Median,N3 α-stable,2,24.327660554673972
21,F7 Hybrid (med w),N3 α-stable,2,25.867454147961165
21,F1 MA,N3 α-stable,3,13.207495718820944
21,F4 Median,N3 α-stable,3,18.08347536720903
21,F7 Hybrid (med w),N3 α-stable,3,19.718729944560714
21,F1 MA,N3 α-stable,4,12.810349295400625
21,F4 Median,N3 α-stable,4,17.047633626243993
21,F7 Hybrid (med w),N3 α-stable,4,18.360789282542388
21,F1 MA,N3 α-stable,5,13.0847410097232
21,F4 Median,N3 α-stable,5,15.019351533274403
21,F7 Hybrid (med w),N3 α-stable,5,16.7108149470665
21,F1 MA,N3 α-stable,6,12.98814301006776
21,F4 Median,N3 α-stable,6,16.97339728474575
21,F7 Hybrid (med w),N3 α-stable,6,18.70083146475695
21,F1 MA,N3 α-stable,7,12.904094646525785
21,F4 Median,N3 α-stable,7,15.518198758689092
21,F7 Hybrid (med w),N3 α-stable,7,17.354939790393946
21,F1 MA,N3 α-stable,8,12.712108682477773
21,F4 Median,N3 α-stable,8,20.032679527320724
21,F7 Hybrid (med w),N3 α-stable,8,21.41908793943062
21,F1 MA,N3 α-stable,9,13.15150286113088
21,F4 Median,N3 α-stable,9,19.364884934647396
21,F7 Hybrid (med w),N3 α-stable,9,20.872813334772076
21,F1 MA,N4 Mixed,0,7.129128146928624
21,F4 Median,N4 Mixed,0,9.465906294696172
21,F7 Hybrid (med w),N4 Mixed,0,10.111525010497827
21,F1 MA,N4 Mixed,1,7.387322370605348
21,F4 Median,N4 Mixed,1,8.296774228729335
21,F7 Hybrid (med w),N4 Mixed,1,9.166288570277136
21,F1 MA,N4 Mixed,2,7.2667630385480955
21,F4 Median,N4 Mixed,2,12.277211833961776
21,F7 Hybrid (med w),N4 Mixed,2,12.403127368529397
21,F1 MA,N4 Mixed,3,7.386353530746792
21,F4 Median,N4 Mixed,3,10.888438072289128
21,F7 Hybrid (med w),N4 Mixed,3,11.276348502533983
21,F1 MA,N4 Mixed,4,7.594013938280959
21,F4 Median,N4 Mixed,4,11.518607020111258
21,F7 Hybrid (med w),N4 Mixed,4,12.078516680721895
21,F1 MA,N4 Mixed,5,7.3088468312643435
21,F4 Median,N4 Mixed,5,8.995587125448418
21,F7 Hybrid (med w),N4 Mixed,5,9.664110136264718
21,F1 MA,N4 Mixed,6,6.833449916323325
21,F4 Median,N4 Mixed,6,9.32475411060844
21,F7 Hybrid (med w),N4 Mixed,6,9.945971382551274
21,F1 MA,N4 Mixed,7,6.844609579645498
21,F4 Median,N4 Mixed,7,8.982707073039817
21,F7 Hybrid (med w),N4 Mixed,7,9.516853333654494
21,F1 MA,N4 Mixed,8,6.451759885677635
21,F4 Median,N4 Mixed,8,9.958759470414934
21,F7 Hybrid (med w),N4 Mixed,8,10.215765135757163
21,F1 MA,N4 Mixed,9,7.8025100110690815
21,F4 Median,N4 Mixed,9,9.579875214568345
21,F7 Hybrid (med w),N4 Mixed,9,10.23834090178862
31,F1 MA,N1 Gauss,0,11.706418092909683
31,F4 Median,N1 Gauss,0,12.933879231038379
31,F7 Hybrid (med w),N1 Gauss,0,13.802586854372112
31,F1 MA,N1 Gauss,1,12.698850409789147
31,F4 Median,N1 Gauss,1,12.671570547210392
31,F7 Hybrid (med w),N1 Gauss,1,13.485525319768144
31,F1 MA,N1 Gauss,2,12.54142489393418
31,F4 Median,N1 Gauss,2,12.959467844850082
31,F7 Hybrid (med w),N1 Gauss,2,14.213709421839003
31,F1 MA,N1 Gauss,3,11.76689414521359
31,F4 Median,N1 Gauss,3,12.995191652161457
31,F7 Hybrid (med w),N1 Gauss,3,14.01435653956387
31,F1 MA,N1 Gauss,4,12.048222245017957
31,F4 Median,N1 Gauss,4,13.031632442214736
31,F7 Hybrid (med w),N1 Gauss,4,13.907860746075894
31,F1 MA,N1 Gauss,5,11.950295922050845
31,F4 Median,N1 Gauss,5,13.010604825754799
31,F7 Hybrid (med w),N1 Gauss,5,13.89328292636767
31,F1 MA,N1 Gauss,6,11.853369010213827
31,F4 Median,N1 Gauss,6,13.222856138858031
31,F7 Hybrid (med w),N1 Gauss,6,14.191823005993784
31,F1 MA,N1 Gauss,7,11.885643557597168
31,F4 Median,N1 Gauss,7,12.270840566465385
31,F7 Hybrid (med w),N1 Gauss,7,13.09648782219094
31,F1 MA,N1 Gauss,8,12.235407377237893
31,F4 Median,N1 Gauss,8,13.467918231433384
31,F7 Hybrid (med w),N1 Gauss,8,14.523749991207406
31,F1 MA,N1 Gauss,9,13.005159343212375
31,F4 Median,N1 Gauss,9,13.400280090188323
31,F7 Hybrid (med w),N1 Gauss,9,14.39479575468898
31,F1 MA,N3 α-stable,0,14.116429597976012
31,F4 Median,N3 α-stable,0,19.327310920828303
31,F7 Hybrid (med w),N3 α-stable,0,20.36654611690351
31,F1 MA,N3 α-stable,1,14.290338366690861
31,F4 Median,N3 α-stable,1,16.872180258215366
31,F7 Hybrid (med w),N3 α-stable,1,18.01815211709698
31,F1 MA,N3 α-stable,2,14.733196480830188
31,F4 Median,N3 α-stable,2,26.02712206537884
31,F7 Hybrid (med w),N3 α-stable,2,27.09544197960152
31,F1 MA,N3 α-stable,3,14.779753995005631
31,F4 Median,N3 α-stable,3,19.66715885594538
31,F7 Hybrid (med w),N3 α-stable,3,20.775150658401948
31,F1 MA,N3 α-stable,4,14.12599684992425
31,F4 Median,N3 α-stable,4,18.675630309833814
31,F7 Hybrid (med w),N3 α-stable,4,19.561652639871518
